id,number,base_offset,host_id,material,width,height
wn-9,196,0.914,w-11,Glass,3.048,3.048
wn-10,197,0.914,w-11,Glass,3.048,3.048
wn-11,198,0.914,w-11,Glass,3.048,3.048
wn-12,199,0.914,w-11,Glass,3.048,3.048
wn-19,206,0.914,w-11,Glass,1.016,2.54
wn-23,210,3.658,w-11,Glass,0.66,1.067
wn-37,224,0.914,w-13,Glass,2.54,2.032
wn-38,225,0.914,w-13,Glass,2.54,2.032
wn-39,226,0.914,w-13,Glass,2.54,2.032
wn-40,227,0.914,w-12,Glass,1.016,2.54
wn-41,228,0.914,w-12,Glass,1.016,2.54
wn-42,229,0.914,w-12,Glass,1.016,2.54
wn-55,242,0.305,w-22,Glass,5.588,3.81
wn-56,243,0.914,w-12,Glass,1.016,2.54
