id,number,base_offset,top_level_id,top_offset,material
w-14,,0,lv-7,0,Metal Stud Layer
w-15,,0,lv-7,0,Metal Stud Layer
w-16,,0,lv-7,0,Metal Stud Layer
w-17,,0,lv-7,0,"Softwood, Lumber"
w-18,,0,lv-7,0,"Softwood, Lumber"
w-19,,0,lv-7,0,"Softwood, Lumber"
w-28,,0,lv-7,0,"Softwood, Lumber"
w-30,,0,lv-7,0,"Softwood, Lumber"
w-67,,0,lv-7,0,"Softwood, Lumber"
w-68,,0,lv-7,0,"Softwood, Lumber"
w-69,,0,lv-7,0,"Softwood, Lumber"
w-70,,0,lv-7,0,"Softwood, Lumber"
w-71,,0,lv-7,0,"Softwood, Lumber"
w-72,,0,lv-7,0,"Softwood, Lumber"
w-73,,0,lv-7,0,"Softwood, Lumber"
w-74,,0,lv-7,0,"Softwood, Lumber"
w-75,,0,lv-7,0,"Softwood, Lumber"
w-83,,0,lv-7,0,Glass
w-84,,0,lv-7,0,Glass
w-85,,0,lv-7,0,Glass
w-86,,0,lv-7,0,Glass
w-87,,0,lv-7,0,Glass
w-88,,0,lv-7,0,Glass
w-89,,0,lv-7,0,Glass
