id,number,start_x,start_y,end_x,end_y
gr-1,A,-133.562,-184.767,-133.562,-223.966
gr-2,B,-125.326,-184.767,-125.326,-223.966
gr-3,C,-118.898,-184.767,-118.898,-223.476
gr-4,D,-115.298,-184.767,-115.298,-223.476
gr-5,E,-111.64,-184.767,-111.64,-223.476
gr-6,F,-109.061,-184.767,-109.061,-223.966
gr-7,5,-136.433,-189.208,-106.865,-189.208
gr-8,4,-136.433,-195.158,-106.865,-195.158
gr-9,3,-136.433,-201.502,-106.865,-201.502
gr-10,2,-136.433,-208.379,-106.574,-208.379
gr-11,1,-136.433,-219.828,-106.865,-219.828
