id,number,base_offset,top_level_id,top_offset,material,shape,size_x,size_y
sc-35,,0,lv-1,0,Steel ASTM A992,,0.254,0.254
sc-36,,0,lv-1,0,Steel ASTM A992,,0.254,0.254
sc-37,,0,lv-1,0,Steel ASTM A992,,0.254,0.254
sc-38,,0,lv-1,0,Steel ASTM A992,,0.254,0.254
sc-39,,0,lv-1,0,Steel ASTM A992,,0.254,0.254
sc-40,,0,lv-1,0,Steel ASTM A992,,0.254,0.254
sc-41,,0,lv-1,0,Steel ASTM A992,,0.254,0.254
sc-42,,0,lv-1,0,Steel ASTM A992,,0.254,0.254
sc-43,,0,lv-1,0,Steel ASTM A992,,0.254,0.254
sc-44,,0,lv-1,0,Steel ASTM A992,,0.254,0.254
sc-55,,0,lv-1,0,Steel ASTM A992,,0.254,0.254
