id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,x,y,rotation,top_level_id,top_offset,height,material,shape,size_x,size_y
0083aed7-d14c-453b-aa1d-4864bdcbe30c-0011abdb,Flex,,561adf52-04d9-49cc-aa0c-378397704344-0009aa6e,,,0,0.5141975268,-0.9280525,-9.725971525,-0.9271,-0.3470275,-9.048109025,3.2004,-0.63754,-9.435459025,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,0.7366,,,,,
9a37cf99-55f9-4307-bc06-fda773163604-0011b6cd,Flex,,561adf52-04d9-49cc-aa0c-378397704344-0009aa6e,,,0,0.5081219619,0.7483475,-9.725971525,-0.9271,1.3293725,-9.048109025,3.2004,1.03886,-9.435459025,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,0.7366,,,,,
9a37cf99-55f9-4307-bc06-fda773163604-0011b7cf,Flex,,561adf52-04d9-49cc-aa0c-378397704344-0009aa6e,,,0,0.5141975268,-4.73329,-9.725971525,-0.9271,-4.152265,-9.048109025,3.2004,-4.4427775,-9.435459025,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,0.7366,,,,,
9a37cf99-55f9-4307-bc06-fda773163604-0011b7db,Flex,,561adf52-04d9-49cc-aa0c-378397704344-0009aa6e,,,0,0.5141975268,-6.40969,-9.725971525,-0.9271,-5.828665,-9.048109025,3.2004,-6.1191775,-9.435459025,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,0.7366,,,,,
f1e85522-067c-41f7-b53b-54506a9ec72d-001267ad,"4"" Diameter (Spiral Stair Post)",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,,,0,0.02655666403,-5.1816,9.43626335,2.4638,-5.08,9.53786335,5.7404,-5.1308,9.48706335,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,0,,,,,
ca6ba87f-a3eb-408d-9990-f6081814b705-00127cbf,"4"" Diameter (Spiral Stair Post)",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.03293849802,-5.1816,9.43626335,9.8044,-5.08,9.53786335,13.8684,-5.1308,9.48706335,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,0,,,,,
6e4e1409-4fe0-4233-b4ee-203421574ce4-00137783,"24""D x 24""W",,561adf52-04d9-49cc-aa0c-378397704344-0009aa6e,,,0,0.5419394101,-6.477,5.5499,-1.0541,-5.8674,6.1595,2.3114,-6.1722,5.8547,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,-0.1524,,Gypsum Wall Board,,,
6e4e1409-4fe0-4233-b4ee-203421574ce4-001377cf,"24""D x 24""W",,561adf52-04d9-49cc-aa0c-378397704344-0009aa6e,,,0,2.269480212,-6.477,0.4572,-1.0541,-5.8674,1.0668,9.652,-6.1722,0.762,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,-0.1524,,Gypsum Wall Board,,,
6e4e1409-4fe0-4233-b4ee-203421574ce4-0013785e,"24""D x 24""W",,561adf52-04d9-49cc-aa0c-378397704344-0009aa6e,,,0,2.008042657,-6.477,-4.1783,-1.0541,-5.8674,-3.5687,9.652,-6.1722,-3.8735,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,-0.1524,,Gypsum Wall Board,,,
27d2b172-766f-4491-9fe9-c474a2c9f8e0-0014ca53,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d18,,,0,2.359737216,6.985,-8.6995,-0.6096,7.5946,-8.0899,5.7404,7.2898,-8.3947,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,0,,Gypsum Wall Board,,,
27d2b172-766f-4491-9fe9-c474a2c9f8e0-0014ca8b,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d18,,,0,2.303103523,6.985,-4.1783,-0.6096,7.5946,-3.5687,5.588,7.2898,-3.8735,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,-0.1524,,Gypsum Wall Board,,,
27d2b172-766f-4491-9fe9-c474a2c9f8e0-0014cab8,"24""D x 24""W",,561adf52-04d9-49cc-aa0c-378397704344-0009aa6e,,,0,2.227395287,6.985,0.4572,-1.0541,7.5946,1.0668,5.588,7.2898,0.762,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,-0.1524,,Gypsum Wall Board,,,
27d2b172-766f-4491-9fe9-c474a2c9f8e0-0014caf3,"24""D x 24""W",,561adf52-04d9-49cc-aa0c-378397704344-0009aa6e,,,0,1.250660724,6.985,5.5499,-1.0541,7.5946,6.1595,2.3114,7.2898,5.8547,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,-0.1524,,Gypsum Wall Board,,,
27d2b172-766f-4491-9fe9-c474a2c9f8e0-0014cb36,"24""D x 24""W",,561adf52-04d9-49cc-aa0c-378397704344-0009aa6e,,,0,0.6696978725,6.985,12.3317,-1.0541,7.5946,12.9413,2.4638,7.2898,12.6365,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,0,,Gypsum Wall Board,,,
27d2b172-766f-4491-9fe9-c474a2c9f8e0-0014cb95,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cf6,,,0,1.0599153,12.2682,5.5499,-5.801809899E-15,12.8778,6.1595,5.588,12.573,5.8547,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,-0.1524,,Gypsum Wall Board,,,
27d2b172-766f-4491-9fe9-c474a2c9f8e0-0014cbdc,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cf6,,,0,1.205814196,19.39485817,5.5499,-5.801809899E-15,20.00445817,6.1595,5.588,19.69965817,5.8547,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,-0.1524,,Default Wall,,,
27d2b172-766f-4491-9fe9-c474a2c9f8e0-0014cc42,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cf6,,,0,1.205814196,20.6756,-4.1783,-5.801809899E-15,21.2852,-3.5687,5.588,20.9804,-3.8735,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,-0.1524,,Default Wall,,,
27d2b172-766f-4491-9fe9-c474a2c9f8e0-0014ccf3,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cf6,,,0,0.7795652261,18.50201726,12.3317,-5.801809899E-15,19.11161726,12.9413,5.588,18.80681726,12.6365,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,-0.1524,,Gypsum Wall Board,,,
27d2b172-766f-4491-9fe9-c474a2c9f8e0-0014cd0c,"24""D x 24""W",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d18,,,0,1.064733096,-6.477,12.3317,-1.8034,-5.8674,12.9413,1.7018,-6.1722,12.6365,0,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,-0.762,,"Concrete, Cast-in-Place gray",,,
