id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,host_id,location_param,material,width,height,operation
18c9fc2e-ddc6-4685-aeab-70c69c08fe45-0009a27a,"36"" x 84"" (180 MIN)",S10,02a23a8b-94c1-452d-91fe-6406594cff3b-000959b8,,,0,0.1373497772,-31.5595,6.14045,-5.1562,-30.353,7.1755,-2.921,715ba9fc-f6f7-442b-86be-87f460856a1d-0009a17d,0.122591944,Aluminum,0,0,
18c9fc2e-ddc6-4685-aeab-70c69c08fe45-0009a2c9,"36"" x 84""",S11A,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d18,,,0,0.1373497772,-30.6832,6.1595,-1.8034,-29.4767,7.19455,0.4318,45f22b37-ff4d-43b6-8d80-4cf11eda5a89-000a4ada,0.1158633175,Aluminum,0,0,
18c9fc2e-ddc6-4685-aeab-70c69c08fe45-0009a323,"36"" x 84"" (180 MIN)",S14,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.1373497772,-31.5595,6.14045,9.8044,-30.353,7.1755,12.0396,45f22b37-ff4d-43b6-8d80-4cf11eda5a89-000a4ada,0.1158633175,Aluminum,0,0,
18c9fc2e-ddc6-4685-aeab-70c69c08fe45-0009a385,"36"" x 84"" (180 MIN)",S13,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,0,0.1373497772,-31.5595,6.14045,5.7404,-30.353,7.1755,7.9756,45f22b37-ff4d-43b6-8d80-4cf11eda5a89-000a4ada,0.1158633175,Aluminum,0,0,
18c9fc2e-ddc6-4685-aeab-70c69c08fe45-0009a38a,"36"" x 84"" (180 MIN)",S15,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,0.1373497772,-31.5595,6.14045,13.8684,-30.353,7.1755,16.1036,45f22b37-ff4d-43b6-8d80-4cf11eda5a89-000a4ada,0.1158633175,Aluminum,0,0,
07d0ca4c-a584-42fc-98d1-57aee4729535-000a13ca,"36"" x 84"" (180 MIN)",S30,02a23a8b-94c1-452d-91fe-6406594cff3b-000959b8,,,0,0.1373497772,12.2555,-0.5969,-5.1562,13.6144,0.43815,-2.921,07d0ca4c-a584-42fc-98d1-57aee4729535-000a13c8,0.08109482787,Aluminum,0,0,
07d0ca4c-a584-42fc-98d1-57aee4729535-000a13cc,"36"" x 84"" (180 MIN)",S32,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,,,0,0.1373497772,12.85144811,-0.3175,2.4638,13.88649811,0.889,4.699,184ed4be-eb51-4db7-b40f-6253f6a27faa-0013d52f,0.7181108964,Aluminum,0,0,
07d0ca4c-a584-42fc-98d1-57aee4729535-000a13cd,"36"" x 84"" (180 MIN)",S34,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,,0,0.1373497772,12.85144811,-0.3175,9.8044,13.88649811,0.889,12.0396,184ed4be-eb51-4db7-b40f-6253f6a27faa-0013d59b,0.7181108964,Aluminum,0,0,
07d0ca4c-a584-42fc-98d1-57aee4729535-000a13ce,"36"" x 84"" (180 MIN)",S33,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,0,0.1373497772,12.85144811,-0.3175,5.7404,13.88649811,0.889,7.9756,184ed4be-eb51-4db7-b40f-6253f6a27faa-0013d52f,0.7181108964,Aluminum,0,0,
07d0ca4c-a584-42fc-98d1-57aee4729535-000a13cf,"36"" x 84"" (180 MIN)",S35,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,0,0.1373497772,12.85144811,-0.3175,13.8684,13.88649811,0.889,16.1036,184ed4be-eb51-4db7-b40f-6253f6a27faa-0013d59b,0.7181108964,Aluminum,0,0,
717ca888-caa1-4d79-a802-1815f215117a-000a58cd,"36"" x 84"" (Exterior)",109D,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cf6,,,0,0.1373497772,16.449675,11.28395,-1.001652095E-14,17.67205,12.319,2.2352,b0a2dd1a-b172-4911-a09e-5a29154cd7e2-000a5393,0.4210069444,Aluminum,0,0,
3626bed5-2394-4429-acf0-1d584c5ed516-000b5536,"36"" x 96""",102B,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d18,,,0,0.1297299845,-21.078825,8.052921559,-1.8034,-20.062825,9.390528441,0.6858,3626bed5-2394-4429-acf0-1d584c5ed516-000b46f3,0.5580678314,Aluminum,0,0,
