id,uuid
lv-1,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cf6
lv-2,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb
lv-3,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d18
lv-4,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19
lv-5,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a
lv-6,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b
lv-7,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d33
lv-8,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d34
lv-9,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d35
lv-10,02a23a8b-94c1-452d-91fe-6406594cff3b-000959b8
lv-11,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3
lv-12,02a23a8b-94c1-452d-91fe-6406594cff3b-00095b78
lv-13,561adf52-04d9-49cc-aa0c-378397704344-0009aa6e
lv-14,8b2fcbb6-3350-4536-a114-8d91a78c59b4-000aa0c8
lv-15,8b2fcbb6-3350-4536-a114-8d91a78c59b4-000aa0c9
lv-16,aa350a87-58a2-40c5-a479-a69db973baca-000ca5ca
lv-17,9b742a74-29a2-4bfb-b21f-467adccc22dd-000eb741
lv-18,bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5
gr-1,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1e
gr-2,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1f
gr-3,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d20
gr-4,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d21
gr-5,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d22
gr-6,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d23
gr-7,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d24
gr-8,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d25
gr-9,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d26
gr-10,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d27
gr-11,db033549-6ee9-4890-83b6-11978091fc6e-000d0af4
gr-12,db033549-6ee9-4890-83b6-11978091fc6e-000d0b3c
gr-13,6e4e1409-4fe0-4233-b4ee-203421574ce4-00137595
gr-14,6e4e1409-4fe0-4233-b4ee-203421574ce4-00137596
gr-15,6e4e1409-4fe0-4233-b4ee-203421574ce4-00137597
gr-16,6e4e1409-4fe0-4233-b4ee-203421574ce4-00137598
gr-17,6e4e1409-4fe0-4233-b4ee-203421574ce4-00137599
gr-18,6e4e1409-4fe0-4233-b4ee-203421574ce4-0013759a
gr-19,6e4e1409-4fe0-4233-b4ee-203421574ce4-0013759b
gr-20,6e4e1409-4fe0-4233-b4ee-203421574ce4-0013759c
gr-21,6e4e1409-4fe0-4233-b4ee-203421574ce4-0013759d
gr-22,6e4e1409-4fe0-4233-b4ee-203421574ce4-0013759e
gr-23,6e4e1409-4fe0-4233-b4ee-203421574ce4-0013759f
gr-24,6e4e1409-4fe0-4233-b4ee-203421574ce4-001375a0
gr-25,6e4e1409-4fe0-4233-b4ee-203421574ce4-001375a1
gr-26,6e4e1409-4fe0-4233-b4ee-203421574ce4-001375a2
gr-27,6e4e1409-4fe0-4233-b4ee-203421574ce4-001375a4
gr-28,f62ae799-e0f5-4cfe-86a1-369acc17c3cf-0024b2e7
w-1,50f92000-82f8-4258-b6a8-bb42c01b00a0-0009734c
w-2,50f92000-82f8-4258-b6a8-bb42c01b00a0-0009738c
w-3,50f92000-82f8-4258-b6a8-bb42c01b00a0-0009741e
w-4,50f92000-82f8-4258-b6a8-bb42c01b00a0-00097465
w-5,50f92000-82f8-4258-b6a8-bb42c01b00a0-00097466
w-6,50f92000-82f8-4258-b6a8-bb42c01b00a0-00097467
w-7,50f92000-82f8-4258-b6a8-bb42c01b00a0-0009760d
w-8,50f92000-82f8-4258-b6a8-bb42c01b00a0-0009760e
w-9,50f92000-82f8-4258-b6a8-bb42c01b00a0-0009760f
w-10,50f92000-82f8-4258-b6a8-bb42c01b00a0-00097610
w-11,715ba9fc-f6f7-442b-86be-87f460856a1d-0009a092
w-12,715ba9fc-f6f7-442b-86be-87f460856a1d-0009a17d
w-13,715ba9fc-f6f7-442b-86be-87f460856a1d-0009a1b7
w-14,07d0ca4c-a584-42fc-98d1-57aee4729535-000a13c7
w-15,07d0ca4c-a584-42fc-98d1-57aee4729535-000a13c8
w-16,45f22b37-ff4d-43b6-8d80-4cf11eda5a89-000a4ada
w-17,45f22b37-ff4d-43b6-8d80-4cf11eda5a89-000a4bea
w-18,45f22b37-ff4d-43b6-8d80-4cf11eda5a89-000a4da0
w-19,b0a2dd1a-b172-4911-a09e-5a29154cd7e2-000a51b9
w-20,b0a2dd1a-b172-4911-a09e-5a29154cd7e2-000a51cc
w-21,b0a2dd1a-b172-4911-a09e-5a29154cd7e2-000a531a
