id,number,start_x,start_y,end_x,end_y
gr-1,Block 35 Left,-33.985,16.294,-33.985,-15.055
gr-2,Block 37 Left,-15.164,16.294,-15.164,-15.055
gr-3,Block 39 Left,-6.325,16.294,-6.325,-15.055
gr-4,Block 43 Left,1.245,16.294,1.245,-15.055
gr-5,Block 43 Right,21.92,16.294,21.92,-15.055
gr-6,Angle,12.591,16.294,12.591,-15.055
gr-7,Block 35 Facade,-2.602,-8.893,-40.142,-8.893
gr-8,Block 39 Facade,16.499,-9.629,-10.49,-9.629
gr-9,Block 43 Facade Flat,14.548,-9.477,-0.223,-9.477
gr-10,Block 43 Facade Angled,8.211,-10.109,26.245,-7.735
gr-11,Y Axis,0,-27.432,0,27.432
gr-12,X Axis,-34.75,-0,34.746,-0
gr-13,1,-33.68,-10.839,-33.68,19.75
gr-14,E,-35.131,12.636,23.704,12.636
gr-15,D,-35.131,5.855,23.704,5.855
gr-16,C,-35.131,0.762,23.704,0.762
gr-17,A,-35.131,-8.395,23.704,-8.395
gr-18,B,-35.131,-3.874,23.704,-3.874
gr-19,4,-15.011,-10.839,-15.011,19.75
gr-20,5,-6.172,-10.839,-6.172,19.75
gr-21,6,1.092,-10.839,1.092,19.75
gr-22,8,12.573,-10.839,12.573,19.75
gr-23,9,21.937,-10.839,17.91,19.75
gr-24,7,7.29,-10.839,7.29,19.75
gr-25,2,-27.673,-10.839,-27.673,19.75
gr-26,3,-21.336,-10.839,-21.336,19.75
gr-27,B.1,-35.131,-1.765,23.704,-1.765
gr-28,NE Corner,19.128,13.279,19.128,13.582
