id,number,base_offset,system_type,terminal_type
tm-78,142,0,,
tm-79,143,0,,
tm-80,149,0,,
tm-81,150,0,,
tm-82,156,0,,
tm-83,157,0,,
tm-84,163,0,,
tm-85,164,0,,
tm-165,286,0,,
tm-166,287,0,,
tm-188,316,0,,
tm-189,317,0,,
tm-190,318,0,,
tm-191,319,0,,
tm-192,320,0,,
tm-193,321,0,,
tm-194,322,0,,
tm-195,323,0,,
tm-196,324,0,,
tm-197,325,0,,
tm-198,326,0,,
tm-199,327,0,,
tm-200,328,0,,
tm-201,329,0,,
tm-202,330,0,,
tm-203,331,0,,
tm-283,337,0,,
tm-284,338,0,,
tm-309,199,0,,
tm-310,200,0,,
tm-311,201,0,,
tm-312,212,0,,
tm-313,197,0,,
tm-314,198,0,,
tm-315,202,0,,
tm-316,203,0,,
tm-317,104,0,,
tm-318,105,0,,
tm-319,106,0,,
tm-320,107,0,,
tm-321,108,0,,
tm-322,109,0,,
tm-323,128,0,,
tm-324,181,0,,
tm-325,188,0,,
tm-326,189,0,,
tm-327,190,0,,
tm-328,191,0,,
tm-329,192,0,,
tm-330,193,0,,
tm-331,204,0,,
tm-332,205,0,,
tm-333,206,0,,
tm-334,207,0,,
tm-335,208,0,,
tm-336,209,0,,
tm-337,219,0,,
tm-338,220,0,,
tm-339,233,0,,
tm-340,234,0,,
tm-341,153,0,,
tm-342,154,0,,
tm-343,158,0,,
tm-344,159,0,,
tm-345,210,0,,
tm-346,211,0,,
tm-347,213,0,,
tm-348,214,0,,
tm-349,216,0,,
tm-350,217,0,,
tm-351,221,0,,
tm-352,222,0,,
tm-353,223,0,,
tm-354,235,0,,
tm-355,236,0,,
tm-356,237,0,,
tm-357,19,0,,
tm-358,20,0,,
tm-359,21,0,,
tm-360,22,0,,
tm-361,51,0,,
tm-362,56,0,,
tm-363,50,0,,
tm-364,52,0,,
tm-365,53,0,,
tm-366,54,0,,
tm-367,55,0,,
tm-368,57,0,,
tm-369,58,0,,
tm-370,59,0,,
tm-371,139,0,,
tm-372,140,0,,
tm-373,144,0,,
tm-374,145,0,,
tm-375,146,0,,
tm-376,147,0,,
tm-377,151,0,,
tm-378,152,0,,
tm-379,160,0,,
tm-380,165,0,,
tm-381,166,0,,
tm-382,238,0,,
tm-383,239,0,,
tm-384,240,0,,
tm-385,18,0,,
tm-386,23,0,,
tm-388,25,0,,
tm-389,26,0,,
tm-390,28,0,,
tm-391,27,0,,
tm-393,30,0,,
tm-394,31,0,,
tm-395,32,0,,
tm-396,33,0,,
tm-397,34,0,,
tm-398,180,0,,
tm-399,182,0,,
tm-400,183,0,,
tm-401,184,0,,
tm-402,185,0,,
tm-403,186,0,,
tm-404,187,0,,
tm-405,253,0,,
tm-406,254,0,,
tm-407,280,0,,
tm-408,281,0,,
tm-411,285,0,,
tm-412,299,0,,
tm-413,300,0,,
tm-414,305,0,,
tm-415,309,0,,
tm-416,355,0,,
tm-417,356,0,,
tm-418,359,0,,
tm-419,360,0,,
tm-420,363,0,,
tm-421,364,0,,
tm-422,367,0,,
tm-423,368,0,,
tm-424,371,0,,
tm-425,444,0,,
tm-426,445,0,,
tm-427,448,0,,
tm-428,449,0,,
tm-429,388,0,,
tm-430,389,0,,
tm-431,390,0,,
tm-432,391,0,,
