id,number,start_x,start_y,end_x,end_y
gr-1,Block 35 Left,-33.9852,16.29424526,-33.9852,-15.05521188
gr-2,Block 37 Left,-15.1638,16.29424526,-15.1638,-15.05521188
gr-3,Block 39 Left,-6.3246,16.29424526,-6.3246,-15.05521188
gr-4,Block 43 Left,1.2446,16.29424526,1.2446,-15.05521188
gr-5,Block 43 Right,21.9202,16.29424526,21.9202,-15.05521188
gr-6,Angle,12.59109811,16.29424526,12.59109811,-15.05521188
gr-7,Block 35 Facade,-2.60186638,-8.892534025,-40.14220795,-8.892534025
gr-8,Block 39 Facade,16.49889249,-9.629134025,-10.48988295,-9.629134025
gr-9,Block 43 Facade Flat,14.54836545,-9.476734025,-0.2231130939,-9.476734025
gr-10,Block 43 Facade Angled,8.210766033,-10.10900924,26.24523232,-7.734726713
gr-11,Y Axis,3.675419269E-18,-27.4322464,3.675419269E-18,27.43242255
gr-12,X Axis,-34.75006428,-2.734053458E-17,34.74624935,-2.734053458E-17
gr-13,1,-33.6804,-10.83911088,-33.6804,19.74975472
gr-14,E,-35.13124534,12.6365,23.70422548,12.6365
gr-15,D,-35.13124534,5.8547,23.70422548,5.8547
gr-16,C,-35.13124534,0.762,23.70422548,0.762
gr-17,A,-35.13124534,-8.3947,23.70422548,-8.3947
gr-18,B,-35.13124534,-3.8735,23.70422548,-3.8735
gr-19,4,-15.0114,-10.83911088,-15.0114,19.74975472
gr-20,5,-6.1722,-10.83911088,-6.1722,19.74975472
gr-21,6,1.0922,-10.83911088,1.0922,19.74975472
gr-22,8,12.573,-10.83911088,12.573,19.74975472
gr-23,9,21.93701313,-10.83911088,17.90991258,19.74975472
gr-24,7,7.2898,-10.83911088,7.2898,19.74975472
gr-25,2,-27.6733,-10.83911088,-27.6733,19.74975472
gr-26,3,-21.336,-10.83911088,-21.336,19.74975472
gr-27,B.1,-35.13124534,-1.7653,23.70422548,-1.7653
gr-28,NE Corner,19.12760802,13.27884827,19.12760802,13.58164917
