id,number,name,elevation
434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cf6,,L1 - Block 43,0
434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,L3,5.7404
434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d18,,L1 - Block 35,-1.8034
434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,,L2,2.4638
434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1a,,L4,9.8044
434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,L5,13.8684
434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d33,,Block 37 - Parapet,14.5288
434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d34,,Block 43 - Parapet,15.5956
434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d35,,Block 39 - Parapet,16.6624
02a23a8b-94c1-452d-91fe-6406594cff3b-000959b8,,Parking,-5.1562
02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,,R2,17.9324
02a23a8b-94c1-452d-91fe-6406594cff3b-00095b78,,Parapet,19.3548
561adf52-04d9-49cc-aa0c-378397704344-0009aa6e,,L1 - Block 37,-1.0541
8b2fcbb6-3350-4536-a114-8d91a78c59b4-000aa0c8,,R3,20.9804
8b2fcbb6-3350-4536-a114-8d91a78c59b4-000aa0c9,,Parapet 2,21.59
aa350a87-58a2-40c5-a479-a69db973baca-000ca5ca,,M1,1.6764
9b742a74-29a2-4bfb-b21f-467adccc22dd-000eb741,,R1,16.0528
bf09761f-abbe-4f7b-bf24-58b710b64a00-001d5fb5,,Green Roof Hardscape,18.2626
