id,number,base_offset,host_id,material,width,height,operation
d-11,109D,0,w-23,Aluminum,0.914,2.134,single_swing
d-81,S22A,1.803,,Glass,0.914,2.438,single_swing
d-113,109B,0,w-576,Aluminum,0.914,2.134,single_swing
d-114,109C,0,w-576,Aluminum,0.914,2.134,single_swing
d-126,109A,0,,Glass,1.829,2.788,double_swing
d-127,108D,0,,Glass,1.829,2.642,double_swing
d-128,108C,0,,Glass,1.829,2.642,double_swing
d-129,S31B,0,,Glass,0.914,2.184,single_swing
d-130,S31A,0,w-416,Aluminum,0.914,2.134,single_swing
d-138,109OPN,0,w-708,,0,0,
