id,number,base_offset,top_level_id,top_offset,material,shape,size_x,size_y
c-34,,0,lv-5,-0.152,Default Wall,,,
c-35,,0,lv-5,0,Default Wall,,,
c-36,,0,lv-5,-0.152,Default Wall,,,
c-37,,0,lv-5,-0.152,Gypsum Wall Board,,,
c-62,,0,lv-5,-0.152,Gypsum Wall Board,,,
c-63,,0,lv-5,-0.152,Gypsum Wall Board,,,
c-64,,0,lv-5,0,Gypsum Wall Board,,,
c-65,,0,lv-5,-0.152,Gypsum Wall Board,,,
c-67,,0,lv-5,-0.152,Gypsum Wall Board,,,
c-68,,0,lv-5,-0.152,Gypsum Wall Board,,,
c-69,,0,lv-5,-0.152,Gypsum Wall Board,,,
c-76,,-0,lv-5,-0.152,Gypsum Wall Board,,,
c-80,,-0,lv-5,-0.152,Gypsum Wall Board,,,
c-83,,0,lv-5,0,Gypsum Wall Board,,,
c-85,,-0,lv-5,0,Gypsum Wall Board,,,
c-89,,0,lv-5,-0.152,Gypsum Wall Board,,,
c-90,,0,lv-5,-0.152,Gypsum Wall Board,,,
c-104,,0,lv-5,-0.152,Gypsum Wall Board,,,
c-105,,0,lv-5,-0.152,Gypsum Wall Board,,,
c-108,,0,lv-5,-0.152,Gypsum Wall Board,,,
