id,number,base_offset,system_type,terminal_type
tm-2,36,-0,,
tm-4,38,-0,,
tm-8,42,-0,,
tm-9,43,0.305,,
tm-12,46,-0,,
tm-13,47,0.305,,
tm-24,60,0,,
tm-25,61,0,,
tm-26,62,0,,
tm-27,63,0,,
tm-28,64,0,,
tm-29,65,0,,
tm-30,66,0,,
tm-31,67,0,,
tm-44,93,5.74,,
tm-45,94,5.74,,
tm-46,95,5.74,,
tm-47,96,5.74,,
tm-50,110,0,,
tm-89,170,0,,
tm-90,171,0,,
tm-91,172,0.305,,
tm-104,79,-0,,
tm-105,84,-0,,
tm-106,85,0.305,,
tm-110,89,-0,,
tm-111,90,-0,,
tm-112,91,0.305,,
tm-180,307,0,,
tm-187,315,0,,
tm-211,341,0,,
tm-212,342,0,,
tm-213,343,0,,
tm-214,344,0,,
tm-227,361,0,,
tm-228,362,0,,
tm-239,378,0,,
tm-240,379,0,,
tm-251,414,0,,
tm-252,415,0,,
tm-263,426,0,,
tm-264,427,0,,
