id,number,base_offset,top_level_id,top_offset,material,id
w-29,,0,lv-6,0,Metal Stud Layer,w-29
w-51,,-0.762,lv-11,0,Metal Stud Layer,w-51
w-64,,0,lv-6,0,Metal Stud Layer,w-64
w-65,,0,lv-2,-0.152,Metal Stud Layer,w-65
w-66,,0,lv-2,-0.737,Metal Stud Layer,w-66
w-67,,0,lv-2,-0.698,Metal Stud Layer,w-67
w-68,,0,lv-6,0,Metal Stud Layer,w-68
w-69,,0,lv-6,0,Metal Stud Layer,w-69
w-80,,0,lv-2,-0.152,Metal Stud Layer,w-80
w-112,,0,,0,Metal Stud Layer,w-112
w-113,,0,,0,Metal Stud Layer,w-113
w-114,,0,,0,Metal Stud Layer,w-114
w-115,,0,,0,Metal Stud Layer,w-115
w-116,,0,,0,Metal Stud Layer,w-116
w-117,,0,,0,Metal Stud Layer,w-117
w-118,,0,,0,Metal Stud Layer,w-118
w-119,,0,,0,Metal Stud Layer,w-119
w-120,,0,,0,Metal Stud Layer,w-120
w-121,,0,,0,Metal Stud Layer,w-121
w-122,,2.134,,0,Metal Stud Layer,w-122
w-134,,0,,0,Metal Stud Layer,w-134
w-135,,0,,0,Metal Stud Layer,w-135
w-136,,0,,0,Metal Stud Layer,w-136
w-137,,0,,0,Metal Stud Layer,w-137
w-138,,0,,0,Metal Stud Layer,w-138
w-139,,0,,0,Metal Stud Layer,w-139
w-140,,0,,0,Metal Stud Layer,w-140
w-141,,0,,0,Metal Stud Layer,w-141
w-142,,0,,0,Metal Furring,w-142
w-143,,0,,0,Metal Stud Layer,w-143
w-144,,0,,0,Metal Stud Layer,w-144
w-145,,2.134,,0,Metal Stud Layer,w-145
w-209,,0,lv-2,0,Metal Stud Layer,w-209
w-210,,0,,0,Metal Stud Layer,w-210
w-211,,2.134,,0,Metal Stud Layer,w-211
w-212,,0,,0,Metal Stud Layer,w-212
w-213,,0,,0,Metal Stud Layer,w-213
w-214,,0,,0,Metal Stud Layer,w-214
w-215,,0,,0,Metal Stud Layer,w-215
w-216,,0,,0,Metal Stud Layer,w-216
w-217,,0,,0,Metal Stud Layer,w-217
w-218,,2.134,,0,Default Wall,w-218
w-219,,0,,0,Metal Stud Layer,w-219
w-220,,0,,0,Metal Stud Layer,w-220
w-221,,0,lv-2,-0.152,Metal Stud Layer,w-221
w-222,,0,,0,Metal Stud Layer,w-222
w-225,,0,lv-2,-0.152,Metal Stud Layer,w-225
w-249,,0,lv-15,0,"Concrete, Cast-in-Place gray",w-249
w-260,,0,lv-2,-0.152,Metal Stud Layer,w-260
w-261,,0,lv-2,-0.152,Metal Stud Layer,w-261
w-262,,0,lv-2,-0.152,Metal Stud Layer,w-262
w-302,,-0.229,,0,Metal Stud Layer,w-302
w-361,,0,lv-2,-0.737,Metal Furring,w-361
w-365,,0,lv-11,0,Metal Stud Layer,w-365
w-378,,0,,0,Metal Stud Layer,w-378
w-380,,0,,0,Metal Stud Layer,w-380
w-388,,0,,0,Metal Stud Layer,w-388
w-389,,0,,0,Metal Furring,w-389
w-400,,0,,0,Metal Furring,w-400
w-401,,0,,0,Metal Furring,w-401
w-402,,0,,0,Metal Stud Layer,w-402
w-411,,0,lv-15,0,"Concrete, Cast-in-Place gray",w-411
