id,number,base_offset,top_level_id,top_offset,material
w-40,,,lv-11,0,Metal Stud Layer
w-41,,,lv-8,0,Metal Stud Layer
w-42,,,lv-12,0,Metal Stud Layer
w-73,,,lv-11,-0.152,Metal Stud Layer
w-83,,,lv-11,0,Metal Stud Layer
w-86,,,lv-11,-0.152,Metal Stud Layer
w-87,,,lv-17,0,Metal Stud Layer
w-88,,,lv-17,0,Metal Stud Layer
w-99,,,lv-11,0,Metal Stud Layer
w-100,,,lv-11,0,Metal Stud Layer
w-192,,,,0,Metal Stud Layer
w-193,,,,0,Metal Stud Layer
w-194,,,,0,Metal Stud Layer
w-195,,,,0,Metal Stud Layer
w-196,,,,0,Metal Stud Layer
w-197,,,,0,Metal Stud Layer
w-198,,,,0,Metal Stud Layer
w-199,,,,0,Metal Stud Layer
w-200,,,,0,Metal Furring
w-201,,,,0,Metal Stud Layer
w-202,,,,0,Metal Stud Layer
w-203,,,,0,Metal Stud Layer
w-242,,,lv-17,0.368,Metal Stud Layer
w-267,,,lv-9,-0.152,Metal Stud Layer
w-268,,,lv-11,0,Metal Stud Layer
w-295,,,,0,Metal Stud Layer
w-296,,,,0,Metal Stud Layer
w-297,,,,0,Metal Stud Layer
w-298,,,,0,Metal Stud Layer
w-299,,,,0,Metal Stud Layer
w-300,,,,0,Metal Stud Layer
w-301,,,,0,Metal Stud Layer
w-305,,,lv-12,-0.94,Metal Stud Layer
w-307,,,lv-12,-0.94,Metal Stud Layer
w-309,,,lv-12,0,Metal Stud Layer
w-310,,,lv-12,0,Metal Stud Layer
w-312,,,lv-12,0,Metal Stud Layer
w-313,,,lv-12,0,Metal Stud Layer
w-314,,,lv-12,0,Metal Stud Layer
w-315,,,lv-12,0,Metal Stud Layer
w-320,,,lv-12,0,Metal Stud Layer
w-321,,,lv-12,0,Metal Stud Layer
w-322,,,lv-12,0,Metal Stud Layer
w-323,,,lv-12,0,Metal Stud Layer
w-324,,,lv-12,0,Metal Stud Layer
w-325,,,lv-12,0,Metal Stud Layer
w-326,,,lv-12,-0.94,Metal Stud Layer
w-328,,,lv-12,0,Metal Stud Layer
w-330,,,lv-12,-0.94,Metal Stud Layer
w-332,,,lv-11,0,Metal Stud Layer
w-334,,,lv-12,-0.94,Metal Stud Layer
w-335,,,lv-12,0,Metal Stud Layer
w-336,,,lv-12,0,Metal Stud Layer
w-355,,,lv-12,-0.584,Metal Stud Layer
w-362,,,lv-11,-0.152,Metal Stud Layer
w-386,,,,0,Metal Stud Layer
w-394,,,,0,Metal Stud Layer
w-395,,,,0,Metal Furring
w-396,,,lv-11,-0.152,Metal Stud Layer
w-397,,,,0,Metal Furring
w-398,,,,0,Metal Furring
w-399,,,,0,Metal Stud Layer
w-462,,,,0,Metal Stud Layer
w-463,,,,0,Metal Stud Layer
w-464,,,,0,Metal Stud Layer
w-465,,,,0,Metal Stud Layer
w-466,,,,0,Metal Stud Layer
w-467,,,,0,Metal Stud Layer
w-476,,,lv-11,-0.152,Metal Stud Layer
w-477,,,lv-11,-0.152,Metal Stud Layer
w-478,,,lv-11,-0.152,Metal Furring
w-479,,,lv-11,-0.152,Metal Furring
w-480,,,lv-11,-0.152,Metal Stud Layer
w-491,,,lv-11,-0.152,Metal Furring
w-492,,,lv-11,-0.152,Metal Furring
w-493,,,lv-11,-0.152,Metal Furring
w-494,,,lv-11,-0.152,Metal Furring
w-495,,,lv-11,-0.152,Metal Furring
w-505,,,,0,Metal Stud Layer
w-506,,,lv-11,-0.152,Metal Furring
w-507,,,lv-11,-0.152,Metal Furring
w-508,,,lv-11,-0.152,Metal Furring
w-509,,,lv-11,-0.152,Metal Furring
w-510,,,lv-11,-0.152,Metal Furring
w-511,,,lv-11,-0.152,Metal Furring
w-512,,,lv-11,-0.152,Metal Stud Layer
w-529,,,lv-11,-0.152,Metal Furring
w-535,,,lv-9,-0.025,Metal Stud Layer
w-536,,,lv-9,-0.025,Metal Stud Layer
w-537,,,lv-9,-0.025,Metal Stud Layer
w-538,,,lv-9,-0.025,Metal Stud Layer
w-539,,,lv-9,-0.025,Metal Stud Layer
w-540,,,lv-9,-0.025,Metal Stud Layer
w-550,,,lv-11,-0.152,Metal Furring
w-551,,,lv-11,-0.152,Metal Furring
w-552,,,lv-11,-0.152,Metal Furring
w-564,,,lv-8,0,Metal Stud Layer
w-565,,,lv-8,0,Metal Stud Layer
w-609,,,lv-6,-0.152,Metal Stud Layer
w-616,,,lv-11,0,Metal Stud Layer
w-617,,,lv-11,0,Metal Stud Layer
w-621,,,lv-6,-0.152,Metal Stud Layer
w-643,,,lv-15,0,Air
w-644,,,lv-15,0,Air
w-645,,,lv-15,0,Air
w-702,,,lv-6,-0.152,Metal Stud Layer
w-709,,,lv-11,-0.152,Metal Furring
w-710,,,lv-11,-0.152,Metal Furring
w-711,,,lv-11,-0.152,Metal Furring
w-712,,,lv-17,0,Metal Stud Layer
w-713,,,lv-11,0,Metal Furring
w-714,,,lv-17,0,Metal Stud Layer
w-715,,,lv-11,0,Metal Furring
w-725,,,lv-6,-0.152,Metal Stud Layer
w-728,,,lv-6,-0.152,Metal Stud Layer
w-731,,,lv-6,-0.711,Metal Stud Layer
w-734,,,lv-6,-0.152,Metal Stud Layer
w-737,,,lv-6,-0.152,Metal Stud Layer
w-801,,,,0.381,Steel Rusted
w-802,,,,0.381,Steel Rusted
w-803,,,,0.381,Steel Rusted
w-804,,,,0.381,Steel Rusted
w-805,,,,0.381,Steel Rusted
w-806,,,,0.381,Steel Rusted
w-807,,,,0.381,Steel Rusted
w-808,,,,0.381,Steel Rusted
w-809,,,,0.381,Steel Rusted
w-810,,,,0.381,Steel Rusted
w-811,,,,0.381,Steel Rusted
w-834,,,,0,Metal Stud Layer
w-849,,,,0,Metal Furring
w-850,,,,0,Metal Furring
w-853,,,,0,Metal Furring
w-854,,,,0,Metal Furring
w-857,,,lv-6,-0.152,Metal Stud Layer
w-858,,,lv-6,-0.152,Metal Stud Layer
w-873,,,lv-11,0,Metal Furring
w-874,,,lv-11,0,Metal Furring
w-875,,,lv-11,0,Metal Furring
w-894,,,lv-6,-0.152,Metal Stud Layer
w-895,,,lv-6,-0.152,Metal Stud Layer
w-896,,,lv-6,-0.152,Metal Stud Layer
w-906,,,lv-6,-0.152,Metal Stud Layer
w-907,,,lv-6,-0.152,Metal Stud Layer
w-908,,,lv-6,-0.152,Metal Stud Layer
w-909,,,lv-6,-0.152,Metal Stud Layer
w-924,,,lv-6,-0.152,Metal Stud Layer
w-925,,,lv-6,-0.152,Metal Stud Layer
w-947,,,,0,Metal Furring
w-948,,,,0,Metal Furring
w-949,,,,0,Metal Furring
w-950,,,,0,Metal Furring
w-1003,,,lv-6,-0.152,Metal Stud Layer
w-1004,,,lv-6,-0.152,Metal Stud Layer
w-1005,,,lv-6,-0.152,Metal Stud Layer
w-1022,,,lv-6,-0.076,Metal Stud Layer
w-1023,,,lv-6,-0.152,Metal Stud Layer
w-1024,,,lv-6,-0.152,Metal Stud Layer
w-1026,,,,0.381,Steel Rusted
w-1027,,,,0.381,Steel Rusted
w-1028,,,,0.381,Steel Rusted
w-1032,,,,0,Metal Stud Layer
w-1035,,,,0,Metal Stud Layer
w-1039,,,,0,Metal Stud Layer
w-1042,,,,0,Metal Stud Layer
w-1043,,,lv-6,-0.152,Metal Stud Layer
w-1049,,,lv-6,-0.152,Metal Stud Layer
w-1050,,,lv-6,-0.152,Metal Stud Layer
w-1057,,,lv-6,-0.152,Metal Stud Layer
w-1058,,,lv-6,-0.152,Metal Stud Layer
w-1059,,,lv-6,-0.152,Metal Stud Layer
w-1061,,,lv-6,-0.152,Metal Stud Layer
