id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,start_x,start_y,end_x,end_y,length,start_z,end_z,top_level_id,top_offset,height,width,step_count
96412cdb-b008-4e87-a38c-61d5eac2a6ce-00097953,Stair,,,,,,,-33.2232,7.796820541,-5.1562,-30.6705,12.71905,-1.730523398,,,,,,,,,,,,19
96412cdb-b008-4e87-a38c-61d5eac2a6ce-00097c7a,Stair,,,,,,,-33.2232,7.79677646,5.7404,-30.6705,12.7127,13.94607743,,,,,,,,,,,,24
96412cdb-b008-4e87-a38c-61d5eac2a6ce-00097dd5,Stair,,,,,,,-33.2232,7.796785136,-1.8034,-30.6705,12.7127,2.540558057,,,,,,,,,,,,25
96412cdb-b008-4e87-a38c-61d5eac2a6ce-00097f30,Stair,,,,,,,-33.2232,7.796625372,2.4638,-30.6705,12.7127,5.832347463,,,,,,,,,,,,22
ba8abc87-1993-4a27-9c7e-28f6d5ef2e36-000a8149,Stair,,,,,,,12.7254,-5.9817,-5.1562,15.2781,0.5715,0.1132003689,,,,,,,,,,,,30
ba8abc87-1993-4a27-9c7e-28f6d5ef2e36-000a9c7f,Stair,,,,,,,12.7254,-4.55295,0.0381,13.8557,-0.8880012399,2.538818996,,,,,,,,,,,,14
f69bcaea-0647-44a4-83b2-eca051555a57-000aae70,Stair,,,,,,,12.7254,-5.9817,2.4638,15.2781,-1.167396222,5.815965564,,,,,,,,,,,,19
f69bcaea-0647-44a4-83b2-eca051555a57-000ab2a2,Stair,,,,,,,12.7254,-5.9817,5.7404,15.2781,-1.20015,13.94607743,,,,,,,,,,,,24
45ed4799-d124-4abc-8e2b-9d29089bad28-000b63b5,Stair,,,,,,,-5.845175,-3.40995,2.4638,-3.355975,0.62865,5.7404,,,,,,,,,,,,19
a89d0e03-7db8-4a89-aefc-2bc49e0884c6-000cb444,Stair,,,,,,,3.269298113,-1.94945,-1.0541,5.809298113,-1.3589,-0.5483913522,,,,,,,,,,,,3
c1d54505-61c2-449c-9999-8528a85092a8-000d751c,Stair,,,,,,,-14.859,7.599967167,-1.0541,-12.3063,13.1191,2.537055758,,,,,,,,,,,,20
c1d54505-61c2-449c-9999-8528a85092a8-000d75d8,Stair,,,,,,,-14.859,7.974596222,2.4638,-12.3063,12.7889,5.815965564,,,,,,,,,,,,19
c1d54505-61c2-449c-9999-8528a85092a8-000d764a,Stair,,,,,,,-14.859,8.00735,5.7404,-12.3063,12.7889,13.94607743,,,,,,,,,,,,24
c1d54505-61c2-449c-9999-8528a85092a8-000d788b,Stair,,,,,,,-14.859,7.580886613,-5.1562,-12.3063,12.7254,-0.9774996157,,,,,,,,,,,,24
c0fb8c63-594c-4159-abc6-3c503191fc73-00126cf3,Stair,,,,,,,-6.0452,8.57266335,2.4638,-4.2164,10.40146335,5.7404,,,,,,,,,,,,14
ca6ba87f-a3eb-408d-9990-f6081814b705-00127cc0,Stair,,,,,,,-6.0452,8.57266335,9.8044,-4.2164,10.40146335,13.8684,,,,,,,,,,,,17
b5ed24f2-314f-41e1-bc85-68ab9308ee8b-0012ee3b,Stair,,,,,,,-17.60855,6.3246,-1.8034,-15.42415,12.0904,1.716100589,,,,,,,,,,,,20
9ae250f9-39c5-43a8-aca7-52422cc42f21-0016eae1,Stair,,,,,,,-1.78435,0.092075,-1.0541,-0.26035,0.650875,-0.5425563333,,,,,,,,,,,,2
ccc5ec05-af67-4074-9b89-d5374098a569-0017c02d,Stair,,,,,,,-5.845175,-4.47675,-0.7493,-4.676775,0.62865,2.4638,,,,,,,,,,,,19
8dfbe684-8856-45ed-b5f7-f9a30a08f521-00187885,Residential Lobby Stair Landing Support,,,,,0,0.262872818,-5.565775,-3.184525,3.832978918,-3.635375,-1.60655,4.124826316,,,,,,,,,,,,
02f8cb3c-5c61-49c6-8634-dc24087a5533-0018aa47,Stair,,,,,,,-33.2232,7.79677646,13.8684,-30.6705,12.7889,18.3487441,,,,,,,,,,,,26
02bf2276-b79f-482f-8992-48d836fdf389-0018b9a7,Stair,,,,,,,-14.859,7.80312646,13.8684,-12.3063,12.79525,18.3487441,,,,,,,,,,,,26
33fa8f47-fee9-41a5-a036-d417a7c1184f-00191894,Stair,,,,,,,12.7254,-5.9817,13.8684,15.2781,-0.8879764599,18.3487441,,,,,,,,,,,,26
29948af7-066b-44c9-b460-4e3a3567113b-001921d4,Stair,,,,,,,13.10707216,-9.660714735,-0.3175,15.70491087,-8.724793419,0.2159,,,,,,,,,,,,2
2f078b15-eeba-4672-bfcc-6e5da742ef42-001f6ee2,Stair,,,,,,,-3.2258,-2.931155163,16.4338,-1.8542,1.945644837,18.3769,,,,,,,,,,,,17
bad8374b-d262-4c13-9044-649d77eec7b0-0020599e,Stair,,,,,,,-13.446125,13.471525,-1.8034,-9.788525,14.690725,0.14478,,,,,,,,,,,,12
143ec8e5-498d-4633-98f8-14a9c4951034-0022a4ac,Stair,,,,,,,-5.076825,-4.9911,9.8044,-0.015875,-3.9751,13.19528121,,,,,,,,,,,,19
