id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,start_x,start_y,end_x,end_y,length,top_level_id,top_offset,height,material,thickness
50f92000-82f8-4258-b6a8-bb42c01b00a0-0009734c,"Exterior - 13 5/8"" Rainscreen (Two Sides) w Insultation on Metal Stud",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d18,,,,14.88784139,-33.9852,-0.05123719234,-1.8034,-33.639125,5.7023,5.715,-33.8121625,-0.05123719234,-33.8121625,5.6340375,5.685274692,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,-0.0254,7.5184,Metal Stud Layer,0.346075
50f92000-82f8-4258-b6a8-bb42c01b00a0-0009738c,"Core - Concrete 12""",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d18,,,,14.96191382,-33.9852,13.0302,-1.8034,-30.3657,13.335,21.59,-33.8328,13.1826,-30.5181,13.1826,3.3147,8b2fcbb6-3350-4536-a114-8d91a78c59b4-000aa0c9,0,23.3934,"Concrete, Cast-in-Place gray",0.3048
50f92000-82f8-4258-b6a8-bb42c01b00a0-0009741e,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud (Alley)",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cf6,,,,66.76934372,19.26033096,-7.60931841,0,21.83934166,9.607139122,13.8684,21.68037587,-7.588390166,19.41929675,9.586210878,17.3228,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,0,13.8684,Default Wall,0.320675
50f92000-82f8-4258-b6a8-bb42c01b00a0-00097465,"Foundation - 24"" Concrete",,02a23a8b-94c1-452d-91fe-6406594cff3b-000959b8,,,,30.90901792,-33.9852,-8.9154,-5.3086,-33.3756,5.7785,-1.8034,-33.6804,-8.6106,-33.6804,5.7785,14.3891,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d18,0,3.5052,"Concrete, Cast-in-Place gray",0.6096
50f92000-82f8-4258-b6a8-bb42c01b00a0-00097466,"Foundation - 24"" Concrete",,02a23a8b-94c1-452d-91fe-6406594cff3b-000959b8,,,,6.431463782,-33.6804,12.7254,-5.3086,-30.3657,13.335,-1.8034,-33.6804,13.0302,-30.5181,13.0302,3.1623,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d18,0,3.5052,"Concrete, Cast-in-Place gray",0.6096
50f92000-82f8-4258-b6a8-bb42c01b00a0-00097467,"Foundation - 24"" Concrete",,02a23a8b-94c1-452d-91fe-6406594cff3b-000959b8,,,,68.6997611,18.51274781,-8.451799866,-5.3086,21.94529153,13.0302,0,21.60331475,-8.109823088,18.8603056,12.7254,21.01500941,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cf6,0,5.3086,"Concrete, Cast-in-Place gray",0.6096
50f92000-82f8-4258-b6a8-bb42c01b00a0-0009760d,"Foundation - 24"" Concrete",,02a23a8b-94c1-452d-91fe-6406594cff3b-000959b8,,,,24.88567842,-33.6804,-8.9154,-5.3086,-15.1638,-8.3058,-1.8034,-33.6804,-8.6106,-15.1638,-8.6106,18.5166,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d18,0,3.5052,"Concrete, Cast-in-Place gray",0.6096
50f92000-82f8-4258-b6a8-bb42c01b00a0-0009760e,"Foundation - 24"" Concrete",,02a23a8b-94c1-452d-91fe-6406594cff3b-000959b8,,,,3.366247965,-6.0198,-9.603734025,-5.3086,-5.4102,-8.3058,-1.0541,-5.715,-8.6106,-5.715,-9.298934025,0.6883340251,561adf52-04d9-49cc-aa0c-378397704344-0009aa6e,0,4.2545,"Concrete, Cast-in-Place gray",0.6096
50f92000-82f8-4258-b6a8-bb42c01b00a0-0009760f,"Foundation - 24"" Concrete",,02a23a8b-94c1-452d-91fe-6406594cff3b-000959b8,,,,17.25951129,-5.715,-9.603734025,-5.3086,1.2446,-8.994134025,-1.0541,-5.715,-9.298934025,1.2446,-9.298934025,6.9596,561adf52-04d9-49cc-aa0c-378397704344-0009aa6e,0,4.2545,"Concrete, Cast-in-Place gray",0.6096
50f92000-82f8-4258-b6a8-bb42c01b00a0-00097610,"Foundation - 24"" Concrete",,02a23a8b-94c1-452d-91fe-6406594cff3b-000959b8,,,,25.87004182,12.2682,-9.646244368,-5.3086,21.64309914,-7.807630695,-0.508,12.57112047,-9.298934025,21.60331475,-8.109823088,9.110132736,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cf6,-0.508,4.8006,"Concrete, Cast-in-Place gray",0.6096
