id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,host_id,location_param,material,width,height
wn-1,"50"" x 60""",87,lv-5,,,0.9144,0.09147935515,-10.029825,12.677775,10.63946763,-8.620125,13.29302547,12.29995,w-706,0.08637156887,Glass,0,0
wn-2,"50"" x 60""",88,lv-5,,,0.9144,0.09147935515,-4.949825,12.677775,10.63946763,-3.540125,13.29302547,12.29995,w-706,0.2503033722,Glass,0,0
wn-3,"50"" x 60""",91,lv-5,,,0.9144,0.09147935515,1.400175,12.677775,10.63946763,2.809875,13.29302547,12.29995,w-706,0.4552181263,Glass,0,0
wn-4,"50"" x 60""",92,lv-5,,,0.9144,0.09147935515,10.290175,12.677775,10.63946763,11.699875,13.29302547,12.29995,w-706,0.7420987821,Glass,0,0
wn-5,"50"" x 60""",93,lv-5,,,0.9144,0.09147935515,3.940175,12.677775,10.63946763,5.349875,13.29302547,12.29995,w-706,0.537184028,Glass,0,0
wn-6,"50"" x 60""",94,lv-5,,,0.9144,0.09147935515,7.750175,12.677775,10.63946763,9.159875,13.29302547,12.29995,w-706,0.6601328805,Glass,0,0
wn-7,"50"" x 60""",99,lv-6,,,0.9144,0.09147935515,-4.949825,12.677775,14.70346763,-3.540125,13.29302547,16.36395,w-706,0.2503033722,Glass,0,0
wn-8,"50"" x 60""",101,lv-6,,,0.9144,0.09147935515,-2.409825,12.677775,14.70346763,-1.000125,13.29302547,16.36395,w-706,0.3322692738,Glass,0,0
wn-9,"50"" x 60""",102,lv-6,,,0.9144,0.09147935515,1.400175,12.677775,14.70346763,2.809875,13.29302547,16.36395,w-706,0.4552181263,Glass,0,0
wn-10,"50"" x 60""",104,lv-6,,,0.9144,0.09147935515,3.940175,12.677775,14.70346763,5.349875,13.29302547,16.36395,w-706,0.537184028,Glass,0,0
wn-11,"50"" x 60""",106,lv-6,,,0.9144,0.09147935515,14.100175,12.677775,14.70346763,15.509875,13.29302547,16.36395,w-706,0.8650476346,Glass,0,0
wn-12,"50"" x 60""",107,lv-6,,,0.9144,0.09147935515,16.640175,12.677775,14.70346763,18.049875,13.29302547,16.36395,w-706,0.9470135363,Glass,0,0
