id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,start_x,start_y,end_x,end_y,length,start_z,end_z,shape,size_x,size_y,system_type
co-1,Electrical Metallic Tubing (EMT),,lv-2,,,,0.003012805651,8.9382981,3.9725981,5.3975,8.9941019,4.0284019,6.6294,8.9662,4.0005,8.9662,4.0005,1.2319,5.3975,6.6294,,,,
co-2,Electrical Metallic Tubing (EMT),,lv-2,,,,0.002011125421,8.9382981,2.784475,4.9758981,8.9941019,3.6068,5.0317019,8.9662,3.6068,8.9662,2.784475,0.822325,5.0038,5.0038,,,,
co-3,Electrical Metallic Tubing (EMT),,lv-2,,,,0.01863651581,9.3599,2.3628731,4.9758981,16.9801472,2.4186769,5.0317019,9.3599,2.390775,16.9801472,2.390775,7.620247203,5.0038,5.0038,,,,
co-4,Electrical Metallic Tubing (EMT),,lv-4,,,,0.003074925355,8.9382981,3.9725981,9.4361,8.9941019,4.0284019,10.6934,8.9662,4.0005,8.9662,4.0005,1.2573,9.4361,10.6934,,,,
co-5,Electrical Metallic Tubing (EMT),,lv-4,,,,0.001708291864,8.9382981,2.9083,9.0144981,8.9941019,3.6068,9.0703019,8.9662,2.9083,8.9662,3.6068,0.6985,9.0424,9.0424,,,,
co-6,Electrical Metallic Tubing (EMT),,lv-3,,,,0.02426195683,9.3599,2.4866981,9.0144981,19.28032239,2.5425019,9.0703019,9.3599,2.5146,19.28032239,2.5146,9.920422386,9.0424,9.0424,,,,
co-7,Electrical Metallic Tubing (EMT),,lv-4,,,,0.02463467506,9.2075,2.3914481,13.0784981,19.28032239,2.4472519,13.1343019,9.2075,2.41935,19.28032239,2.41935,10.07282239,13.1064,13.1064,,,,
co-8,Electrical Metallic Tubing (EMT),,lv-2,,,,0.002360548757,8.6207981,2.6416,4.9758981,8.6766019,3.6068,5.0317019,8.6487,3.6068,8.6487,2.6416,0.9652,5.0038,5.0038,,,,
co-9,Electrical Metallic Tubing (EMT),,lv-2,,,,0.01941301212,9.0424,2.2199981,4.9758981,16.9801472,2.2758019,5.0317019,16.9801472,2.2479,9.0424,2.2479,7.937747203,5.0038,5.0038,,,,
co-10,Electrical Metallic Tubing (EMT),,lv-2,,,,0.005950149419,-4.6697519,2.6416,5.1028981,-4.6139481,5.074544544,5.1587019,-4.64185,2.6416,-4.64185,5.074544544,2.432944544,5.1308,5.1308,,,,
co-11,Electrical Metallic Tubing (EMT),,lv-2,,,,0.001366633491,-4.6697519,6.1315981,4.0132,-4.6139481,6.1874019,4.572,-4.64185,6.1595,-4.64185,6.1595,0.5588,4.0132,4.572,,,,
co-12,Electrical Metallic Tubing (EMT),,lv-2,,,,0.05193902383,-4.24815,2.2199981,5.1028981,16.98909225,2.2758019,5.1587019,16.98909225,2.2479,-4.24815,2.2479,21.23724225,5.1308,5.1308,,,,
co-13,Electrical Metallic Tubing (EMT),,lv-2,,,,0.002919626094,-8.6829519,2.50825,5.1028981,-8.6271481,3.70205,5.1587019,-8.65505,3.70205,-8.65505,2.50825,1.1938,5.1308,5.1308,,,,
co-14,Electrical Metallic Tubing (EMT),,lv-2,,,,0.001770411568,-8.6829519,4.0678481,4.0132,-8.6271481,4.1236519,4.7371,-8.65505,4.09575,-8.65505,4.09575,0.7239,4.0132,4.7371,,,,
co-15,Electrical Metallic Tubing (EMT),,lv-2,,,,0.004457088772,-11.3817019,-0.254,4.9758981,-11.3258981,1.56845,5.0317019,-11.3538,-0.254,-11.3538,1.56845,1.82245,5.0038,5.0038,,,,
co-16,Electrical Metallic Tubing (EMT),,lv-2,,,,0.001459813047,-11.3817019,-0.6756019,4.0132,-11.3258981,-0.6197981,4.6101,-11.3538,-0.6477,-11.3538,-0.6477,0.5969,4.6101,4.0132,,,,
co-17,Electrical Metallic Tubing (EMT),,lv-2,,,,0.002610759281,15.9131,2.0866481,4.9758981,16.98060807,2.1424519,5.0317019,15.9131,2.11455,16.98060807,2.11455,1.067508074,5.0038,5.0038,,,,
co-18,Electrical Metallic Tubing (EMT),,lv-2,,,,0.001459813047,15.4914981,2.0866481,4.0132,15.5473019,2.1424519,4.6101,15.5194,2.11455,15.5194,2.11455,0.5969,4.0132,4.6101,,,,
co-19,Electrical Metallic Tubing (EMT),,lv-7,,,,0.0003080500347,-28.67205737,1.661567045,17.1424981,-28.61625357,1.787525,17.1983019,-28.64415547,1.661567045,-28.64415547,1.787525,0.1259579547,17.1704,17.1704,,,,
co-20,Electrical Metallic Tubing (EMT),,lv-7,,,,0.00254690787,-28.67205737,-1.409423775,17.5641,-28.61625357,-1.353619975,18.6055,-28.64415547,-1.381521875,-28.64415547,-1.381521875,1.0414,18.6055,17.5641,,,,
co-21,Electrical Metallic Tubing (EMT),,lv-7,,,,0.02640087426,-28.25045547,2.1533231,17.1424981,-17.45545547,2.2091269,17.1983019,-28.25045547,2.181225,-17.45545547,2.181225,10.795,17.1704,17.1704,,,,
co-22,Electrical Metallic Tubing (EMT),,lv-7,,,,0.01806033336,-17.08965737,2.574925,17.1424981,-17.03385357,9.959578125,17.1983019,-17.06175547,2.574925,-17.06175547,9.959578125,7.384653125,17.1704,17.1704,,,,
co-23,Electrical Metallic Tubing (EMT),,lv-7,,,,0.002063781577,-16.66805547,10.32537623,17.1424981,-15.8242,10.38118003,17.1983019,-16.66805547,10.35327813,-15.8242,10.35327813,0.8438554688,17.1704,17.1704,,,,
co-24,Electrical Metallic Tubing (EMT),,lv-7,,,,5.957121819E-05,-21.95990893,1.661567045,17.1424981,-21.90410513,1.685925,17.1983019,-21.93200703,1.661567045,-21.93200703,1.685925,0.02435795474,17.1704,17.1704,,,,
co-25,Electrical Metallic Tubing (EMT),,lv-7,,,,0.00254690787,-21.95990893,-1.4534769,17.5641,-21.90410513,-1.3976731,18.6055,-21.93200703,-1.425575,-21.93200703,-1.425575,1.0414,18.6055,17.5641,,,,
co-26,Electrical Metallic Tubing (EMT),,lv-7,,,,0.01023373595,-21.53830703,2.0517231,17.1424981,-17.35385547,2.1075269,17.1983019,-21.53830703,2.079625,-17.35385547,2.079625,4.184451563,17.1704,17.1704,,,,
co-27,Electrical Metallic Tubing (EMT),,lv-7,,,,5.957121819E-05,-15.37813393,1.661567045,17.1424981,-15.32233013,1.685925,17.1983019,-15.35023203,1.661567045,-15.35023203,1.685925,0.02435795474,17.1704,17.1704,,,,
