id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,x,y,rotation,system_type,equipment_type
eq-1,P506,7,lv-5,,,0,0.03674799102,8.5217,3.927475,14.7574,8.9027,4.073525,15.4178,8.7122,4.073525,180,,
eq-2,P408,8,lv-4,,,1.407727268E-14,0.03674799102,8.7757,3.927475,10.6934,9.1567,4.073525,11.3538,8.9662,4.073525,180,,
eq-3,P307,9,lv-3,,,1.028723773E-14,0.03674799102,8.7757,3.927475,6.6294,9.1567,4.073525,7.2898,8.9662,4.073525,180,,
eq-4,P205,10,lv-2,,,1.082867129E-15,0.03674799102,8.5471,3.927475,3.3528,8.9281,4.073525,4.0132,8.7376,4.073525,180,,
eq-5,P507,11,lv-5,,,0,0.03674799102,15.76707262,4.026114703,14.7574,16.14807262,4.172164703,15.4178,15.95757262,4.172164703,90,,
eq-6,P504,12,lv-5,,,0,0.03674799102,-8.845958211,4.022725,14.7574,-8.464958211,4.168775,15.4178,-8.655458211,4.168775,180,,
eq-7,P410,13,lv-4,,,-5.414335646E-16,0.03674799102,15.76871397,4.022725,10.6934,16.14971397,4.168775,11.3538,15.95921397,4.168775,180,,
eq-8,P404,14,lv-4,,,0,0.03674799102,-8.8519,4.022725,10.6934,-8.4709,4.168775,11.3538,-8.6614,4.168775,90,,
eq-9,P309,15,lv-3,,,-5.414335646E-16,0.03674799102,15.78097118,4.022725,6.6294,16.16197118,4.168775,7.2898,15.97147118,4.168775,90,,
eq-10,P304,16,lv-3,,,0,0.03674799102,-8.839931446,4.0370125,6.6294,-8.458931446,4.1830625,7.2898,-8.649431446,4.1830625,180,,
eq-11,P203,17,lv-2,,,0,0.03674799102,-8.847446142,4.022725,3.3528,-8.466446142,4.168775,4.0132,-8.656946142,4.168775,90,,
eq-12,P202,18,lv-2,,,2.707167823E-16,0.03674799102,-11.5443,-0.720725,3.3528,-11.1633,-0.574675,4.0132,-11.3538,-0.720725,90,,
eq-13,P204,19,lv-2,,,-1.501261224E-16,0.03674799102,-4.714875,5.969,3.3528,-4.568825,6.35,4.0132,-4.714875,6.1595,240,,
eq-14,P200,20,lv-2,,,1.747164464E-14,0.03674799102,15.446375,1.92405,3.3528,15.592425,2.30505,4.0132,15.446375,2.11455,240,,
eq-15,"36""x26.5"", 277 V/480 V, Three Phase, 4 Wires, Wye",22,lv-7,,,0,1.401421713,-15.9893,6.0071,17.9324,-15.3162,6.9215,20.2184,-15.3162,6.4643,270,,
eq-16,"36""x26.5"", 277 V/480 V, Three Phase, 4 Wires, Wye",23,lv-7,,,0,1.401421713,-15.9893,6.9215,17.9324,-15.3162,7.8359,20.2184,-15.3162,7.3787,270,,
eq-17,"36""x26.5"", 277 V/480 V, Three Phase, 4 Wires, Wye",24,lv-7,,,0,1.401421713,-15.9893,8.7503,17.9324,-15.3162,9.6647,20.2184,-15.3162,9.2075,270,,
eq-18,"36""x26.5"", 277 V/480 V, Three Phase, 4 Wires, Wye",25,lv-7,,,0,1.401421713,-15.9893,9.6647,17.9324,-15.3162,10.5791,20.2184,-15.3162,10.1219,270,,
eq-19,12 V,26,lv-2,,,0,1.608719887E-06,-32.0939097,-1.121917257,16.61987142,-32.06767087,-1.104525778,16.64543687,-32.08143857,-1.114644151,114.5503156,,
eq-20,12 V,27,lv-2,,,0,1.608719887E-06,-32.25176144,-1.416967002,14.7259845,-32.22552261,-1.399575524,14.75154995,-32.23929032,-1.409693896,114.5503156,,
eq-21,12 V,28,lv-2,,,0,1.608719887E-06,-32.3912234,-1.723550168,12.8158245,-32.36498457,-1.70615869,12.84138995,-32.37875228,-1.716277062,114.5503156,,
eq-22,12 V,29,lv-2,,,0,1.608719887E-06,-32.53989469,-2.024675565,10.91217274,-32.51365586,-2.007284086,10.93773819,-32.52742356,-2.017402459,114.5503156,,
eq-23,12 V,30,lv-2,,,0,1.608719887E-06,-32.66999403,-2.345499899,8.950536479,-32.6437552,-2.32810842,8.976101929,-32.6575229,-2.338226793,114.5503156,,
eq-24,12 V,31,lv-2,,,0,1.608719887E-06,-32.81752283,-2.654063246,7.011186442,-32.791284,-2.636671767,7.036751892,-32.8050517,-2.64679014,114.5503156,,
eq-25,12 V,32,lv-2,,,0,1.608719887E-06,-32.96406244,-2.961281146,5.081106163,-32.93782361,-2.943889667,5.106671613,-32.95159131,-2.95400804,114.5503156,,
eq-26,"36""x26.5"", 277 V/480 V, Three Phase, 4 Wires, Wye",33,lv-7,,,2.165734259E-15,1.401421713,-15.9893,7.8359,17.9324,-15.3162,8.7503,20.2184,-15.3162,8.2931,270,,
eq-27,240V - Fusible 100A,37,lv-7,,,-7.715428296E-15,0.02332360097,-29.39447911,-1.272551948,18.71345,-28.99214989,-0.9723913306,19.2532,-29.18068128,-1.217255624,162.7434031,,
eq-28,PV1,38,lv-7,,,-1.272368877E-14,0.05465085844,-28.90561613,-1.55325443,18.6055,-28.38278793,-1.209700415,19.3421,-28.67448335,-1.447928098,162.7434031,,
eq-29,PV2,39,lv-7,,,-1.353583912E-15,0.05465085844,-22.19342265,-1.597375901,18.6055,-21.67059444,-1.253821887,19.3421,-21.96228987,-1.49204957,162.7434031,,
eq-30,240V - Fusible 100A,40,lv-7,,,-3.113242997E-15,0.02332360097,-22.63064526,-1.340205737,18.71345,-22.22831605,-1.040045119,19.2532,-22.41684744,-1.284909412,162.7434031,,
eq-31,PV3,41,lv-7,,,-5.414335646E-16,0.05465085844,-15.61165251,-1.582063955,18.6055,-15.0888243,-1.23850994,19.3421,-15.38051972,-1.476737623,162.7434031,,
