id,number,start_x,start_y,end_x,end_y
gr-1,1,-33.68,-11.276,-33.68,17.674
gr-2,E,-35.457,12.637,27.813,12.636
gr-3,D,-35.457,5.855,27.813,5.855
gr-4,C,-35.457,0.762,27.813,0.762
gr-5,B,-35.457,-3.874,27.813,-3.874
gr-6,4,-15.011,-11.276,-15.011,17.674
gr-7,5,-6.172,-11.276,-6.172,17.674
gr-8,6,1.092,-11.276,1.092,17.674
gr-9,8,12.573,-11.276,12.573,17.674
gr-10,9,21.715,-9.156,18.183,17.674
gr-11,7,7.29,-11.276,7.29,17.674
gr-12,B.1,-35.457,-1.765,27.813,-1.765
gr-13,A,-35.457,-8.395,27.813,-8.395
gr-14,2,-27.673,-11.276,-27.673,17.674
gr-15,3,-21.336,-11.276,-21.336,17.674
