id,number,base_offset,system_type,terminal_type
tm-78,116,0,,
tm-79,117,0,,
tm-80,123,0,,
tm-81,124,0,,
tm-82,130,0,,
tm-83,131,0,,
tm-84,137,0,,
tm-85,138,0,,
tm-165,264,0,,
tm-166,265,0,,
tm-187,291,0,,
tm-188,292,0,,
tm-189,293,0,,
tm-190,294,0,,
tm-191,295,0,,
tm-192,296,0,,
tm-193,297,0,,
tm-194,298,0,,
tm-195,299,0,,
tm-196,300,0,,
tm-197,301,0,,
tm-198,302,0,,
tm-199,303,0,,
tm-200,304,0,,
tm-201,305,0,,
tm-202,306,0,,
tm-203,307,0,,
tm-204,308,0,,
tm-205,309,0,,
tm-206,310,0,,
tm-207,311,0,,
tm-208,312,0,,
tm-209,313,0,,
tm-210,314,0,,
tm-211,315,0,,
tm-212,316,0,,
tm-213,317,0,,
tm-214,318,0,,
tm-215,319,0,,
tm-216,320,0,,
tm-217,321,0,,
tm-218,322,0,,
tm-312,421,0,,
tm-313,422,0,,
tm-399,509,0,,
tm-400,510,0,,
tm-401,511,0,,
tm-402,512,0,,
tm-403,513,0,,
tm-404,514,0,,
tm-405,515,0,,
tm-406,516,0,,
tm-407,517,0,,
tm-408,518,0,,
tm-409,519,0,,
tm-410,520,0,,
tm-411,521,0,,
tm-412,522,0,,
tm-413,523,0,,
tm-414,524,0,,
tm-415,525,0,,
tm-416,526,0,,
tm-417,527,0,,
tm-418,528,0,,
tm-419,529,0,,
tm-420,530,0,,
tm-421,531,0,,
tm-422,532,0,,
tm-425,535,0,,
tm-426,536,0,,
tm-431,541,0,,
tm-432,542,0,,
tm-433,543,0,,
tm-434,544,0,,
tm-435,545,0,,
tm-436,546,0,,
tm-437,547,0,,
tm-438,548,0,,
tm-439,549,0,,
tm-440,550,0,,
tm-441,551,0,,
tm-442,552,0,,
tm-449,559,0,,
tm-450,560,0,,
tm-451,561,0,,
tm-452,562,0,,
tm-453,563,0,,
tm-454,564,0,,
tm-455,565,0,,
tm-456,566,0,,
tm-457,567,0,,
tm-458,568,0,,
tm-459,569,0,,
tm-460,570,0,,
tm-461,571,0,,
tm-462,572,0,,
tm-463,573,0,,
tm-464,574,0,,
tm-465,575,0,,
tm-466,577,0,,
tm-467,578,0,,
tm-468,579,0,,
tm-469,580,0,,
tm-470,581,0,,
tm-471,583,0,,
tm-473,585,0,,
tm-474,586,0,,
tm-475,587,0,,
tm-477,589,0,,
tm-478,590,0,,
tm-479,591,0,,
tm-480,592,0,,
tm-481,593,0,,
tm-482,594,0,,
tm-483,595,0,,
tm-484,596,0,,
tm-485,597,0,,
tm-486,598,0,,
tm-487,599,0,,
tm-488,600,0,,
tm-489,601,0,,
tm-490,602,0,,
tm-491,603,0,,
tm-492,604,0,,
tm-493,605,0,,
tm-494,606,0,,
tm-497,609,0,,
tm-498,610,0,,
tm-501,613,0,,
tm-502,614,0,,
tm-503,615,0,,
tm-504,616,0,,
tm-505,617,0,,
tm-506,618,0,,
tm-509,621,0,,
tm-510,622,0,,
tm-511,623,0,,
tm-512,624,0,,
tm-513,625,0,,
tm-514,626,0,,
tm-515,627,0,,
tm-516,628,0,,
tm-517,629,0,,
tm-518,630,0,,
