id,number,start_x,start_y,end_x,end_y
gr-1,1,-33.6804,-11.27585141,-33.6804,17.67373976
gr-2,E,-35.45731234,12.6365,27.813,12.6365
gr-3,D,-35.45731234,5.8547,27.813,5.8547
gr-4,C,-35.45731234,0.762,27.813,0.762
gr-5,B,-35.45731234,-3.8735,27.813,-3.8735
gr-6,4,-15.0114,-11.27585141,-15.0114,17.67373976
gr-7,5,-6.1722,-11.27585141,-6.1722,17.67373976
gr-8,6,1.0922,-11.27585141,1.0922,17.67373976
gr-9,8,12.573,-11.27585141,12.573,17.67373976
gr-10,9,21.71536269,-9.155508642,18.18322513,17.67373976
gr-11,7,7.2898,-11.27585141,7.2898,17.67373976
gr-12,B.1,-35.45731234,-1.7653,27.813,-1.7653
gr-13,A,-35.45731234,-8.3947,27.813,-8.3947
gr-14,2,-27.6733,-11.27585141,-27.6733,17.67373976
gr-15,3,-21.336,-11.27585141,-21.336,17.67373976
