id,number,name,elevation
933c4a06-93b8-11d3-80f8-00c04f8efc32-0000001e,,L1 - Block 43,0
6341822b-d4f3-11d3-a039-0000863f1523-000026da,,L2,2.4638
c3ebb219-e63f-4383-98ab-605fca28cead-0014cbfa,,L3,5.7404
c3ebb219-e63f-4383-98ab-605fca28cead-0014cc01,,L4,9.8044
c3ebb219-e63f-4383-98ab-605fca28cead-0014cc08,,L5,13.8684
c3ebb219-e63f-4383-98ab-605fca28cead-0014cc0f,,R1,16.0528
c3ebb219-e63f-4383-98ab-605fca28cead-0014cc40,,R2,17.9324
c3ebb219-e63f-4383-98ab-605fca28cead-0014cc79,,Parking,-5.1562
f16d99ba-9667-4ad2-bb20-70f866953194-00167f3d,,L1 - Block 37,-1.0668
f16d99ba-9667-4ad2-bb20-70f866953194-00167f97,,L1 - Block 35,-1.8034
af593302-bd46-4408-8450-4bd09efd1991-0016a2dd,,M1,1.6764
