id,number,base_offset,system_type,terminal_type
tm-298,404,0.254,,
tm-299,405,0.61,,
tm-300,406,0.61,,
tm-301,407,0.61,,
tm-302,408,0.61,,
tm-303,409,0.61,,
tm-304,410,0.61,,
tm-305,411,0.61,,
tm-306,412,0.61,,
tm-307,413,0.254,,
tm-585,708,0,,
tm-586,709,0,,
tm-587,710,0,,
tm-588,711,0,,
tm-767,189,-0,,
tm-768,190,-0,,
tm-769,191,0,,
tm-770,192,0,,
tm-771,193,0,,
tm-772,194,0,,
tm-773,195,-0,,
tm-774,196,0,,
tm-775,197,0,,
tm-776,198,0,,
tm-777,199,0,,
tm-778,200,-0,,
tm-779,201,-0,,
tm-780,202,0,,
tm-781,203,0,,
tm-782,204,0,,
tm-783,205,0,,
tm-784,206,0,,
tm-785,207,-0,,
tm-786,208,0,,
tm-787,209,0,,
tm-788,210,0,,
tm-789,211,0,,
tm-790,212,0,,
tm-791,213,0,,
tm-935,362,0,,
tm-936,363,-0,,
tm-937,364,0,,
tm-1021,448,-0,,
tm-1022,449,-0,,
tm-1051,478,0,,
tm-1056,483,0,,
tm-1057,484,-0,,
