id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type
co-6,,,9.042,9.042,,,,
co-77,,,9.144,9.144,,,,
co-78,,,9.144,9.144,,,,
co-79,,,7.29,8.75,,,,
co-80,,,9.042,9.042,,,,
co-81,,,9.042,9.042,,,,
co-82,,,7.29,8.649,,,,
co-83,,,9.144,9.144,,,,
co-84,,,7.29,8.75,,,,
co-85,,,7.29,8.529,,,,
co-86,,,7.328,8.649,,,,
co-87,,,9.042,9.042,,,,
co-88,,,9.042,9.042,,,,
co-89,,,9.042,9.042,,,,
co-90,,,7.328,8.649,,,,
co-91,,,9.042,9.042,,,,
co-92,,,9.042,9.042,,,,
co-93,,,9.042,9.042,,,,
co-94,,,6.629,5.525,,,,
co-97,,,9.144,9.144,,,,
co-99,,,9.144,9.144,,,,
co-100,,,9.144,9.144,,,,
co-101,,,-1.168,4.115,,,,
co-102,,,-1.168,4.115,,,,
co-103,,,-1.168,4.115,,,,
co-104,,,-1.168,4.115,,,,
co-105,,,-1.168,4.115,,,,
co-106,,,-1.168,4.115,,,,
co-107,,,-1.168,4.115,,,,
co-108,,,-1.168,4.115,,,,
co-109,,,-1.168,4.115,,,,
co-110,,,-1.168,4.115,,,,
co-111,,,-1.168,4.115,,,,
co-112,,,-1.168,4.115,,,,
co-141,,,8.738,5.029,,,,
co-142,,,8.738,5.029,,,,
co-143,,,8.738,5.029,,,,
co-144,,,8.738,5.029,,,,
co-145,,,8.738,5.029,,,,
co-146,,,-1.168,4.115,,,,
co-147,,,-1.168,4.115,,,,
co-148,,,-1.168,4.115,,,,
co-149,,,-1.168,4.115,,,,
co-150,,,-1.168,4.115,,,,
co-151,,,-1.168,4.115,,,,
co-152,,,8.738,5.029,,,,
co-153,,,8.738,5.029,,,,
co-154,,,8.738,5.029,,,,
co-155,,,8.738,5.029,,,,
co-156,,,8.738,5.029,,,,
co-157,,,9.652,12.649,,,,
co-158,,,9.652,12.649,,,,
co-159,,,9.652,12.649,,,,
co-160,,,9.652,12.649,,,,
co-161,,,9.652,12.649,,,,
co-162,,,9.652,12.649,,,,
co-163,,,-1.168,4.115,,,,
co-164,,,-1.168,4.115,,,,
co-165,,,-1.168,4.115,,,,
co-166,,,-1.168,4.115,,,,
co-167,,,-1.168,4.115,,,,
co-168,,,-1.168,4.115,,,,
co-169,,,8.738,5.029,,,,
co-170,,,8.738,5.029,,,,
co-171,,,8.738,5.029,,,,
co-172,,,8.738,5.029,,,,
co-173,,,8.738,5.029,,,,
co-174,,,9.652,12.649,,,,
co-175,,,9.652,12.649,,,,
co-176,,,9.652,12.649,,,,
co-177,,,9.652,12.649,,,,
co-178,,,8.738,5.029,,,,
co-179,,,8.738,5.029,,,,
co-180,,,8.738,5.029,,,,
co-226,,,9.652,12.649,,,,
co-227,,,12.649,9.652,,,,
co-228,,,9.652,12.649,,,,
co-229,,,8.738,5.029,,,,
co-230,,,8.738,5.029,,,,
co-231,,,-1.168,4.115,,,,
co-232,,,-1.168,4.115,,,,
co-233,,,-1.168,4.115,,,,
co-254,,,9.652,12.649,,,,
co-255,,,8.738,5.029,,,,
co-256,,,9.652,12.649,,,,
co-257,,,9.652,12.649,,,,
co-258,,,9.652,12.649,,,,
co-259,,,9.652,12.649,,,,
co-260,,,8.738,5.029,,,,
co-261,,,8.738,5.029,,,,
co-262,,,8.738,5.029,,,,
co-263,,,8.738,5.029,,,,
co-264,,,-1.168,4.115,,,,
co-482,,,9.017,9.017,,,,
co-483,,,9.144,9.144,,,,
co-484,,,9.068,9.093,,,,
co-485,,,9.068,9.093,,,,
co-487,,,9.144,9.144,,,,
co-488,,,9.03,9.03,,,,
co-489,,,9.093,9.081,,,,
co-490,,,9.093,9.081,,,,
co-501,,,8.923,8.923,,,,
co-502,,,9.097,8.97,,,,
co-511,,,12.649,9.652,,,,
co-512,,,8.738,5.029,,,,
co-513,,,-1.168,4.115,,,,
co-514,,,-1.168,4.115,,,,
co-515,,,-1.168,4.115,,,,
co-516,,,-1.168,4.115,,,,
co-517,,,-1.168,4.115,,,,
