id,number,base_offset,system_type,equipment_type
eq-39,49,0,,
eq-40,50,0,,
eq-41,51,0,,
eq-45,55,0,,
eq-46,56,0,,
eq-47,57,0,,
eq-50,60,0,,
eq-51,61,0,,
eq-52,62,0,,
eq-55,65,0,,
eq-61,71,0,,
eq-62,72,0,,
eq-63,73,0,,
eq-64,74,0,,
eq-70,80,0,,
eq-71,81,0,,
eq-72,82,0,,
eq-78,88,0,,
eq-79,89,0,,
eq-80,90,0,,
eq-86,96,0,,
eq-87,97,0,,
eq-93,103,0,,
eq-94,104,0,,
eq-95,105,0,,
eq-96,106,0,,
eq-101,111,0,,
eq-102,112,0,,
eq-103,113,0,,
eq-108,118,0,,
eq-109,119,0,,
eq-111,121,0,,
eq-121,131,0,,
eq-122,132,0,,
eq-123,133,0,,
eq-158,ELD2,0,,
eq-172,187,2.769,,
eq-177,ELD1,0,,
eq-178,ELD3,0,,
eq-179,ELD4,3.645,,
eq-180,ELD5,3.645,,
eq-181,ELD6,3.645,,
eq-182,ELD7,3.645,,
eq-183,ELD8,3.645,,
eq-184,ELD9,2.896,,
eq-185,ELD10,2.896,,
eq-186,ELD11,2.896,,
eq-187,ELD12,4.699,,
eq-188,ELD13,2.743,,
eq-189,ELD29,0,,
eq-190,ELD51,1.633,,
eq-191,ELD52,1.369,,
eq-192,ELD53,1.445,,
eq-193,ELD54,1.445,,
eq-194,ELD55,1.445,,
eq-195,ELD56,1.191,,
eq-196,ELD57,1.191,,
eq-197,ELD58,1.666,,
eq-198,ELD59,1.448,,
eq-199,ELD63,0.457,,
eq-200,ELD64,2.769,,
