id,number,start_x,start_y,end_x,end_y
gr-1,1,-33.68,-9.433,-33.68,14.633
gr-2,E,-35.131,12.636,23.704,12.636
gr-3,D,-35.131,5.855,23.704,5.855
gr-4,C,-35.131,0.762,23.704,0.762
gr-5,A,-35.131,-8.395,23.704,-8.395
gr-6,B,-35.131,-3.874,23.704,-3.874
gr-7,4,-15.011,-9.433,-15.011,14.633
gr-8,5,-6.172,-9.433,-6.172,14.633
gr-9,6,1.092,-9.433,1.092,14.633
gr-10,8,12.573,-9.433,12.573,14.633
gr-11,9,21.752,-9.433,18.584,14.633
gr-12,7,7.29,-9.433,7.29,14.633
gr-13,2,-27.673,-9.433,-27.673,14.633
gr-14,3,-21.336,-9.433,-21.336,14.633
gr-15,B.1,-35.131,-1.765,23.704,-1.765
