id,number,base_offset,system_type,terminal_type
tm-139,220,0,hvac,
tm-163,256,0,hvac,
tm-170,267,0,hvac,
tm-179,280,0,hvac,
tm-186,288,0,hvac,
tm-195,301,0,hvac,
tm-200,307,0,hvac,
tm-222,343,0,hvac,
tm-223,345,0,hvac,
tm-224,347,0,hvac,
tm-225,348,0,hvac,
tm-238,375,0,hvac,
tm-241,378,0,hvac,
tm-246,387,0,hvac,
tm-248,389,0,hvac,
tm-270,426,0,hvac,
tm-271,428,0,hvac,
tm-272,430,0,hvac,
tm-273,431,0,hvac,
tm-286,451,0,hvac,
tm-289,454,0,hvac,
tm-294,463,0,hvac,
tm-296,465,0,hvac,
tm-297,467,0,hvac,
tm-303,476,0,hvac,
