id,number,name,elevation
933c4a06-93b8-11d3-80f8-00c04f8efc32-0000001e,,L1 - Block 43,0
6341822b-d4f3-11d3-a039-0000863f1523-000026da,,L2,2.4638
37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014ca78,,L1 - Block 35,-1.8034
37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014ca81,,Parking,-5.1562
37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cadb,,M1,1.6764
37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,L3,5.7404
37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb67,,L4,9.8044
37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb6e,,L5,13.8684
37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb75,,R1,16.0528
37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cbbc,,L1 - Block 37,-1.0541
37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cc29,,R2,17.9324
