id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
du-135,,,1.613,1.613,round,0.203,0.203,hvac,,
du-138,,,1.613,1.613,round,0.203,0.203,hvac,,
du-139,,,1.702,1.955,round,0.203,0.203,hvac,,
du-140,,,2.044,2.044,round,0.203,0.203,hvac,,
du-141,,,2.044,2.044,round,0.203,0.203,hvac,,
du-142,,,2.044,2.044,round,0.203,0.203,hvac,,
du-875,,,1.994,1.994,round,0.203,0.203,hvac,,
du-877,,,2.044,2.044,round,0.203,0.203,hvac,,
du-878,,,1.994,1.994,round,0.203,0.203,hvac,,
du-882,,,2.024,1.689,round,0.102,0.102,hvac,,
du-884,,,1.638,1.638,round,0.203,0.203,hvac,,
du-885,,,1.955,1.728,round,0.203,0.203,hvac,,
du-886,,,1.905,1.728,round,0.203,0.203,hvac,,
du-887,,,1.638,1.638,round,0.203,0.203,hvac,,
du-888,,,1.955,1.728,round,0.203,0.203,hvac,,
du-889,,,1.905,1.728,round,0.203,0.203,hvac,,
du-891,,,2.121,2.121,round,0.203,0.203,hvac,,
du-893,,,2.184,2.184,round,0.203,0.203,hvac,,
du-895,,,1.638,1.638,round,0.203,0.203,hvac,,
du-896,,,2.095,1.728,round,0.203,0.203,hvac,,
du-902,,,1.638,1.638,round,0.203,0.203,hvac,,
du-903,,,1.638,1.638,round,0.203,0.203,hvac,,
du-906,,,2.121,2.121,round,0.203,0.203,hvac,,
du-907,,,2.121,2.121,round,0.203,0.203,hvac,,
du-908,,,2.121,2.121,round,0.203,0.203,hvac,,
du-909,,,2.121,2.121,round,0.203,0.203,hvac,,
du-910,,,2.121,2.121,round,0.102,0.102,hvac,,
du-911,,,2.121,2.121,round,0.102,0.102,hvac,,
du-912,,,2.121,2.121,round,0.102,0.102,hvac,,
du-913,,,2.121,2.121,round,0.102,0.102,hvac,,
du-914,,,2.045,1.41,round,0.102,0.102,hvac,,
du-915,,,2.121,2.121,round,0.102,0.102,hvac,,
du-916,,,2.121,2.121,round,0.102,0.102,hvac,,
du-917,,,2.045,1.41,round,0.102,0.102,hvac,,
du-944,,,2.019,2.019,round,0.203,0.203,hvac,,
du-945,,,2.07,2.07,round,0.203,0.203,hvac,,
du-946,,,1.613,1.613,round,0.203,0.203,hvac,,
du-947,,,1.981,1.702,round,0.203,0.203,hvac,,
du-948,,,1.702,1.93,round,0.203,0.203,hvac,,
du-949,,,2.019,2.019,round,0.152,0.152,hvac,,
du-950,,,2.121,2.121,round,0.152,0.152,hvac,,
du-951,,,2.019,2.019,round,0.203,0.203,hvac,,
du-952,,,2.053,2.087,round,0.152,0.152,hvac,,
du-953,,,2.019,2.019,round,0.152,0.152,hvac,,
du-954,,,2.019,2.019,round,0.203,0.203,hvac,,
du-955,,,2.07,2.07,round,0.203,0.203,hvac,,
du-956,,,2.07,2.07,round,0.203,0.203,hvac,,
du-957,,,2.07,2.07,round,0.203,0.203,hvac,,
du-958,,,2.07,2.07,round,0.102,0.102,hvac,,
du-959,,,2.07,2.07,round,0.102,0.102,hvac,,
du-960,,,2.07,2.07,round,0.102,0.102,hvac,,
du-961,,,2.07,2.07,round,0.102,0.102,hvac,,
du-962,,,1.994,1.41,round,0.102,0.102,hvac,,
du-963,,,1.994,1.41,round,0.102,0.102,hvac,,
du-991,,,1.613,1.613,round,0.102,0.102,hvac,,
du-997,,,1.587,1.588,round,0.102,0.102,hvac,,
du-998,,,5.271,5.27,round,0.102,0.102,hvac,,
du-999,,,5.271,5.27,round,0.102,0.102,hvac,,
du-1004,,,5.363,5.363,round,0.102,0.102,hvac,,
du-1007,,,5.234,5.234,round,0.102,0.102,hvac,,
du-1010,,,5.234,5.234,round,0.102,0.102,hvac,,
du-1014,,,9.042,9.042,round,0.102,0.102,hvac,,
du-1018,,,8.992,8.992,round,0.102,0.102,hvac,,
du-1037,,,1.334,1.334,round,0.102,0.102,hvac,,
du-1038,,,1.334,1.334,round,0.102,0.102,hvac,,
du-1039,,,0.864,0.864,round,0.102,0.102,hvac,,
du-1040,,,0.864,0.864,round,0.203,0.203,hvac,,
du-1041,,,1.302,1.302,round,0.102,0.102,hvac,,
du-1042,,,1.302,1.302,round,0.102,0.102,hvac,,
du-1043,,,0.864,0.864,round,0.203,0.203,hvac,,
du-1044,,,0.864,0.864,round,0.203,0.203,hvac,,
du-1045,,,0.864,0.864,round,0.203,0.203,hvac,,
du-1046,,,0.864,0.864,round,0.203,0.203,hvac,,
du-1047,,,0.864,0.864,round,0.2035,0.203,hvac,,
du-1048,,,0.971,1.257,round,0.102,0.102,hvac,,
du-1049,,,1.176,0.863,round,0.102,0.102,hvac,,
