id,number,base_offset,system_type,terminal_type
tm-11,19,0,hvac,
tm-12,21,3.2,hvac,
tm-13,22,3.2,hvac,
tm-14,23,3.2,hvac,
tm-15,26,-0.544,hvac,
tm-16,27,-0.544,hvac,
tm-59,98,0,hvac,
tm-60,99,0,hvac,
tm-61,100,3.658,hvac,
tm-62,101,3.658,hvac,
tm-63,102,3.658,hvac,
tm-64,103,3.658,hvac,
tm-65,111,3.378,hvac,
tm-66,112,3.378,hvac,
tm-67,113,3.378,hvac,
tm-68,114,3.378,hvac,
tm-69,115,3.378,hvac,
tm-70,116,3.378,hvac,
tm-71,117,3.378,hvac,
tm-72,118,3.378,hvac,
tm-73,119,0,hvac,
tm-74,120,3.162,hvac,
tm-75,121,3.162,hvac,
tm-76,122,0,hvac,
tm-77,127,3.302,hvac,
tm-78,128,3.302,hvac,
tm-79,129,3.302,hvac,
tm-80,130,3.302,hvac,
tm-81,131,0,hvac,
tm-82,132,3.045,hvac,
tm-83,133,0,hvac,
tm-84,135,2.856,hvac,
tm-85,136,2.856,hvac,
tm-86,137,3.251,hvac,
tm-87,138,3.251,hvac,
tm-88,139,3.658,hvac,
tm-89,140,3.658,hvac,
tm-90,141,3.658,hvac,
tm-91,142,3.607,hvac,
tm-92,143,3.607,hvac,
tm-93,144,2.856,hvac,
tm-94,145,2.856,hvac,
tm-95,146,2.856,hvac,
tm-96,147,2.856,hvac,
tm-97,148,3.251,hvac,
tm-98,149,3.251,hvac,
tm-99,150,3.251,hvac,
tm-100,151,3.658,hvac,
tm-101,152,3.658,hvac,
tm-102,153,3.658,hvac,
tm-103,154,3.658,hvac,
tm-104,155,3.658,hvac,
tm-105,156,3.251,hvac,
tm-106,157,3.251,hvac,
tm-107,158,3.251,hvac,
tm-108,159,3.251,hvac,
tm-109,160,3.251,hvac,
tm-110,161,3.251,hvac,
tm-111,171,0,hvac,
tm-112,173,0,hvac,
tm-126,202,3.391,hvac,
tm-127,203,3.391,hvac,
tm-128,204,3.391,hvac,
tm-129,205,3.391,hvac,
tm-130,206,3.391,hvac,
tm-131,207,3.391,hvac,
tm-132,208,3.391,hvac,
tm-133,209,3.391,hvac,
tm-134,214,0,hvac,
tm-135,215,3.251,hvac,
tm-136,216,3.251,hvac,
tm-137,217,3.035,hvac,
tm-138,218,3.035,hvac,
tm-140,221,3.391,hvac,
tm-141,222,3.391,hvac,
tm-142,223,3.391,hvac,
tm-143,224,3.391,hvac,
tm-144,225,3.391,hvac,
tm-145,226,3.391,hvac,
tm-146,227,3.391,hvac,
tm-147,228,3.391,hvac,
tm-148,233,0,hvac,
tm-149,234,3.251,hvac,
tm-150,235,3.251,hvac,
tm-151,236,3.035,hvac,
tm-152,237,3.035,hvac,
tm-153,241,3.391,hvac,
tm-154,243,0,hvac,
tm-155,244,0,hvac,
tm-156,245,3.251,hvac,
tm-157,246,3.251,hvac,
tm-158,247,3.251,hvac,
tm-159,248,3.251,hvac,
tm-160,249,3.251,hvac,
tm-161,250,3.251,hvac,
tm-162,255,0,hvac,
tm-312,486,-3.696,hvac,
tm-313,487,-3.696,hvac,
tm-323,505,0,hvac,
tm-324,511,-2.972,hvac,
tm-325,515,-1.143,hvac,
tm-326,516,0.686,hvac,
tm-327,517,2.515,hvac,
tm-336,544,0,hvac,
tm-356,567,0,hvac,
tm-357,568,0,hvac,
tm-358,569,0,hvac,
tm-359,570,0,hvac,
tm-360,571,0,hvac,
tm-361,572,0,hvac,
tm-362,573,0,hvac,
tm-363,574,0,hvac,
tm-364,575,0,hvac,
tm-365,576,0,hvac,
tm-366,577,3.607,hvac,
tm-367,578,3.607,hvac,
tm-368,579,3.251,hvac,
tm-369,580,3.251,hvac,
tm-370,581,3.251,hvac,
tm-371,582,3.251,hvac,
tm-372,583,3.251,hvac,
tm-373,584,3.251,hvac,
tm-374,585,3.251,hvac,
tm-375,586,3.251,hvac,
tm-376,587,3.251,hvac,
tm-377,588,3.251,hvac,
tm-378,589,3.251,hvac,
tm-383,594,3.251,hvac,
tm-384,595,3.251,hvac,
tm-385,596,3.251,hvac,
tm-386,597,3.251,hvac,
tm-387,598,3.251,hvac,
tm-388,599,3.251,hvac,
tm-389,600,3.505,hvac,
tm-390,601,3.505,hvac,
tm-391,602,3.505,hvac,
tm-392,603,3.505,hvac,
tm-393,604,3.505,hvac,
tm-394,605,3.393,hvac,
tm-395,606,3.393,hvac,
tm-396,607,3.393,hvac,
tm-397,608,3.393,hvac,
tm-398,609,3.2,hvac,
tm-399,610,3.201,hvac,
tm-400,611,3.353,hvac,
tm-401,612,3.353,hvac,
tm-402,613,3.353,hvac,
tm-403,614,3.353,hvac,
tm-488,699,-3.696,hvac,
tm-492,703,-3.641,hvac,
tm-493,704,-3.641,hvac,
tm-494,705,-3.641,hvac,
