id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,x,y,rotation,system_type,terminal_type
384b7cfc-2aa8-4ccb-9943-f3eb3ab2e6f7-00150508,"4"" DIA",1,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,0,0.001249534933,-10.804525,-8.994134025,4.9022,-10.652125,-8.892534025,5.0546,-10.728325,-8.892534025,270,hvac,
0b202da0-7e91-481c-adf0-ed84186e6285-00150b6d,48x4 1/4-8 In Inlet 2-Slot,3,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,0,0.0378786573,-11.65004273,-3.568292998,4.899025,-10.40544273,-3.415892998,5.1816,-11.02774273,-3.501617998,180,hvac,
0b202da0-7e91-481c-adf0-ed84186e6285-00150fc5,"12"" x 12""",4,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,0,0.001282287758,-10.410825,-2.1844,4.9022,-10.106025,-1.8796,4.9355375,-10.258425,-2.032,180,hvac,
2707bbd2-db0c-4034-9366-37a5081a23bf-0015339a,"4"" DIA",10,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,0,0.001249534933,-6.835775,13.0302,4.826,-6.683375,13.1318,4.9784,-6.759575,13.0302,180,hvac,
2707bbd2-db0c-4034-9366-37a5081a23bf-00153576,"12"" x 12""",11,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,0,0.001282287758,-10.39495,4.127825,4.9022,-10.09015,4.432625,4.9355375,-10.24255,4.280225,180,hvac,
2707bbd2-db0c-4034-9366-37a5081a23bf-00153ee4,16x10,13,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,0.4064,0.005871113762,-12.798425,-3.18918511,2.6495375,-12.74445,-2.90184761,3.0908625,-12.785725,-3.04551636,90,hvac,
2707bbd2-db0c-4034-9366-37a5081a23bf-00153f10,16x10,14,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,0.4064,0.005871113762,-8.773135478,5.56895,2.6495375,-8.485797978,5.622925,3.0908625,-8.629466728,5.58165,120,hvac,
2707bbd2-db0c-4034-9366-37a5081a23bf-00154566,16x4 Connection 8 Diameter Duct,15,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,2.8956,0.00246868097,-10.3505,10.81054406,5.28955,-10.290175,11.26139406,5.429259695,-10.34415,11.03596906,240,hvac,
2707bbd2-db0c-4034-9366-37a5081a23bf-0015458d,16x4 Connection 8 Diameter Duct,17,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,2.8956,0.00246868097,-10.194925,9.271662702,5.289540305,-10.1346,9.722512702,5.42925,-10.14095,9.497087702,240,hvac,
2707bbd2-db0c-4034-9366-37a5081a23bf-001545f2,16x4 Connection 8 Diameter Duct,18,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,2.8956,0.00246868097,-10.3505,7.652034256,5.28955,-10.290175,8.102884256,5.429259695,-10.34415,7.877459256,240,hvac,
c682183b-7f4f-4935-a156-090a72e2146c-0015505e,"4"" DIA",19,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,0,0.001249534933,-4.321175,13.0302,8.9662,-4.168775,13.1318,9.1186,-4.244975,13.0302,180,hvac,
0c8058fc-a917-453e-99a6-91ab96dd8cbb-001551d1,16x4 Connection 8 Diameter Duct,21,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,3.2004,0.00246868097,-3.422659695,8.562696424,8.93445,-3.28295,9.013546424,8.994775,-3.3528,8.788121424,270,hvac,
0c8058fc-a917-453e-99a6-91ab96dd8cbb-001551ff,16x4 Connection 8 Diameter Duct,22,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,3.2004,0.00246868097,-3.422659695,9.655694479,8.93445,-3.28295,10.10654448,8.994775,-3.3528,9.881119479,270,hvac,
0c8058fc-a917-453e-99a6-91ab96dd8cbb-00155213,16x4 Connection 8 Diameter Duct,23,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,3.2004,0.00246868097,-3.422659695,10.76294557,8.93445,-3.28295,11.21379557,8.994775,-3.3528,10.98837057,270,hvac,
0c8058fc-a917-453e-99a6-91ab96dd8cbb-0015557d,16x4 Connection 8 Diameter Duct,26,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,-0.5443312644,0.00246868097,-3.603625,6.991461476,5.126218736,-3.152775,7.051786476,5.265928431,-3.3782,7.045436476,180,hvac,
0c8058fc-a917-453e-99a6-91ab96dd8cbb-0015559d,16x4 Connection 8 Diameter Duct,27,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,-0.5443312644,0.00246868097,-4.899025,6.991461476,5.126218736,-4.448175,7.051786476,5.265928431,-4.6736,7.045436476,180,hvac,
0c8058fc-a917-453e-99a6-91ab96dd8cbb-00155634,"12"" x 12""",28,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,0,0.001282287758,-3.5814,4.3942,4.9022,-3.2766,4.699,4.9355375,-3.429,4.5466,180,hvac,
0c8058fc-a917-453e-99a6-91ab96dd8cbb-00155d62,16x4 Connection 8 Diameter Duct,29,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,2.95,0.00246868097,2.6685875,7.849262997,5.34395,2.7289125,8.300112997,5.483659695,2.7225625,8.074687997,120,hvac,
0c8058fc-a917-453e-99a6-91ab96dd8cbb-00155d9c,"12"" x 12""",30,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,0,0.001282287758,8.3566,5.3975,4.9022,8.6614,5.7023,4.9355375,8.509,5.5499,180,hvac,
0c8058fc-a917-453e-99a6-91ab96dd8cbb-00155fcf,16x4 Connection 8 Diameter Duct,32,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,2.95,0.00246868097,3.990975,8.125703601,5.34395,4.441825,8.186028601,5.483659695,4.2164,8.179678601,180,hvac,
0c8058fc-a917-453e-99a6-91ab96dd8cbb-0015600c,16x4 Connection 8 Diameter Duct,33,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,2.95,0.00246868097,6.353175,8.125740534,5.34395,6.804025,8.186065534,5.483659695,6.5786,8.179715534,180,hvac,
0c8058fc-a917-453e-99a6-91ab96dd8cbb-00156575,"4"" DIA",36,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,0,0.001249534933,4.568825,13.0302,4.826,4.721225,13.1318,4.9784,4.645025,13.0302,180,hvac,
80ad68d1-c024-4f78-acf0-0e2bfff0fc27-00156604,"4"" DIA",38,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,0,0.001249534933,17.268825,13.0302,4.826,17.421225,13.1318,4.9784,17.345025,13.0302,180,hvac,
80ad68d1-c024-4f78-acf0-0e2bfff0fc27-00156b52,"12"" x 12""",39,933c4a06-93b8-11d3-80f8-00c04f8efc32-0000001e,,,0,0.001282287758,13.6398,11.4098761,2.7432,13.9446,11.7146761,2.7765375,13.7922,11.5622761,180,hvac,
80ad68d1-c024-4f78-acf0-0e2bfff0fc27-00156b8b,"12"" x 12""",40,933c4a06-93b8-11d3-80f8-00c04f8efc32-0000001e,,,0,0.001282287758,13.6398,9.022276101,2.7432,13.9446,9.327076101,2.7765375,13.7922,9.174676101,180,hvac,
80ad68d1-c024-4f78-acf0-0e2bfff0fc27-00156e64,16x4 Connection 8 Diameter Duct,41,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,2.4384,0.00246868097,15.37383295,4.8006976,4.83235,15.43415795,5.2515476,4.972059695,15.42780795,5.0261226,120,hvac,
80ad68d1-c024-4f78-acf0-0e2bfff0fc27-001571c1,16x4 Connection 8 Diameter Duct,47,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,2.4384,0.00246868097,14.71025795,8.9154976,4.83235,14.77058295,9.3663476,4.972059695,14.71660795,9.1409226,240,hvac,
80ad68d1-c024-4f78-acf0-0e2bfff0fc27-001573b5,16x4 Connection 8 Diameter Duct,49,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,2.4384,0.00246868097,15.37383295,7.5438976,4.83235,15.43415795,7.9947476,4.972059695,15.42780795,7.7693226,120,hvac,
50ed4a93-4b29-407a-8d1c-333fcfee1736-00157de0,"4"" DIA",51,933c4a06-93b8-11d3-80f8-00c04f8efc32-0000001e,,,0,0.001249534933,16.66535061,-8.989840955,5.1562,16.82970827,-8.869217965,5.3086,16.74089871,-8.879164061,90.24508742,hvac,
50ed4a93-4b29-407a-8d1c-333fcfee1736-001583cd,16x4 Connection 8 Diameter Duct,52,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,2.3622,0.00246868097,16.93140479,0.092075,4.75615,16.99172979,0.542925,4.895859695,16.93775479,0.3175,240,hvac,
50ed4a93-4b29-407a-8d1c-333fcfee1736-00158403,16x4 Connection 8 Diameter Duct,53,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,2.3622,0.00246868097,16.93140479,-2.651125,4.75615,16.99172979,-2.200275,4.895859695,16.93775479,-2.4257,240,hvac,
50ed4a93-4b29-407a-8d1c-333fcfee1736-001584a9,16x4 Connection 8 Diameter Duct,55,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,2.3622,0.00246868097,17.08697979,-1.279525,4.756140305,17.14730479,-0.828675,4.89585,17.14095479,-1.0541,240,hvac,
50ed4a93-4b29-407a-8d1c-333fcfee1736-001585ec,16x4 Connection 8 Diameter Duct,56,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,2.3622,0.00246868097,17.25542341,-3.841329332,4.756140305,17.61687872,-3.479874023,4.89585,17.45298905,-3.643763697,98.42105812,hvac,
5e87c63f-ac5f-4f89-9346-9e92c685bc17-00159131,"12"" x 12""",59,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cbbc,,,0,0.001282287758,10.9474,11.4681,1.6891,11.2522,11.7729,1.7224375,11.0998,11.6205,180,hvac,
5e87c63f-ac5f-4f89-9346-9e92c685bc17-00159196,"12"" x 12""",60,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cbbc,,,0,0.001282287758,8.5598,11.4681,1.6891,8.8646,11.7729,1.7224375,8.7122,11.6205,180,hvac,
46f425a9-73b3-4d83-8c3d-78265d2abe59-00159467,16x4 Connection 8 Diameter Duct,61,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,2.3277,0.00246868097,4.771758851,-4.251325,4.72165,4.832083851,-3.800475,4.861359695,4.778108851,-4.0259,240,hvac,
46f425a9-73b3-4d83-8c3d-78265d2abe59-00159516,16x4 Connection 8 Diameter Duct,63,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,2.3277,0.00246868097,4.771758851,-1.508125,4.72165,4.832083851,-1.057275,4.861359695,4.778108851,-1.2827,240,hvac,
46f425a9-73b3-4d83-8c3d-78265d2abe59-00159584,16x4 Connection 8 Diameter Duct,64,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cbbc,,,2.667,0.00246868097,4.771758851,1.235075,1.54305,4.832083851,1.685925,1.682759695,4.778108851,1.4605,240,hvac,
46f425a9-73b3-4d83-8c3d-78265d2abe59-001595d9,16x4 Connection 8 Diameter Duct,65,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cbbc,,,2.667,0.00246868097,4.771758851,3.978275,1.54305,4.832083851,4.429125,1.682759695,4.778108851,4.2037,240,hvac,
46f425a9-73b3-4d83-8c3d-78265d2abe59-00159642,16x4 Connection 8 Diameter Duct,66,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cbbc,,,2.667,0.00246868097,4.771758851,6.721475,1.54305,4.832083851,7.172325,1.682759695,4.778108851,6.9469,240,hvac,
46f425a9-73b3-4d83-8c3d-78265d2abe59-001596ac,16x4 Connection 8 Diameter Duct,67,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cbbc,,,2.667,0.00246868097,4.771758851,9.464675,1.54305,4.832083851,9.915525,1.682759695,4.778108851,9.6901,240,hvac,
46f425a9-73b3-4d83-8c3d-78265d2abe59-0015982c,16x4 Connection 8 Diameter Duct,69,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,2.3277,0.00246868097,9.311863215,-4.251325,4.72165,9.372188215,-3.800475,4.861359695,9.318213215,-4.0259,240,hvac,
46f425a9-73b3-4d83-8c3d-78265d2abe59-00159930,16x4 Connection 8 Diameter Duct,71,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,2.3277,0.00246868097,9.312065327,-1.508125,4.72165,9.372390327,-1.057275,4.861359695,9.318415327,-1.2827,240,hvac,
46f425a9-73b3-4d83-8c3d-78265d2abe59-00159979,16x4 Connection 8 Diameter Duct,72,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cbbc,,,2.667,0.00246868097,9.312033802,1.235075,1.54305,9.372358802,1.685925,1.682759695,9.318383802,1.4605,240,hvac,
46f425a9-73b3-4d83-8c3d-78265d2abe59-0015999e,16x4 Connection 8 Diameter Duct,73,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cbbc,,,2.667,0.00246868097,9.311881261,3.978275,1.54305,9.372206261,4.429125,1.682759695,9.318231261,4.2037,240,hvac,
46f425a9-73b3-4d83-8c3d-78265d2abe59-001599d1,16x4 Connection 8 Diameter Duct,74,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cbbc,,,2.667,0.00246868097,9.311863215,6.721475,1.54305,9.372188215,7.172325,1.682759695,9.318213215,6.9469,240,hvac,
46f425a9-73b3-4d83-8c3d-78265d2abe59-00159a00,16x4 Connection 8 Diameter Duct,75,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cbbc,,,2.667,0.00246868097,9.312033802,9.007475,1.54305,9.372358802,9.458325,1.682759695,9.318383802,9.2329,240,hvac,
46f425a9-73b3-4d83-8c3d-78265d2abe59-00159a75,16x4 Connection 8 Diameter Duct,76,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cbbc,,,2.667,0.00246868097,4.927333851,8.093075,1.543040305,4.987658851,8.543925,1.68275,4.981308851,8.3185,240,hvac,
46f425a9-73b3-4d83-8c3d-78265d2abe59-00159aff,16x4 Connection 8 Diameter Duct,77,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cbbc,,,2.667,0.00246868097,4.927333851,5.349875,1.543040305,4.987658851,5.800725,1.68275,4.981308851,5.5753,240,hvac,
46f425a9-73b3-4d83-8c3d-78265d2abe59-00159b89,16x4 Connection 8 Diameter Duct,78,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cbbc,,,2.667,0.00246868097,4.927333851,2.606675,1.543040305,4.987658851,3.057525,1.68275,4.981308851,2.8321,240,hvac,
46f425a9-73b3-4d83-8c3d-78265d2abe59-00159bea,16x4 Connection 8 Diameter Duct,79,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cbbc,,,2.667,0.00246868097,9.467608802,7.864475,1.543040305,9.527933802,8.315325,1.68275,9.521583802,8.0899,240,hvac,
46f425a9-73b3-4d83-8c3d-78265d2abe59-00159c15,16x4 Connection 8 Diameter Duct,80,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cbbc,,,2.667,0.00246868097,9.467608802,5.349875,1.543040305,9.527933802,5.800725,1.68275,9.521583802,5.5753,240,hvac,
46f425a9-73b3-4d83-8c3d-78265d2abe59-00159c38,16x4 Connection 8 Diameter Duct,81,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cbbc,,,2.667,0.00246868097,9.467608802,2.606675,1.543040305,9.527933802,3.057525,1.68275,9.521583802,2.8321,240,hvac,
46f425a9-73b3-4d83-8c3d-78265d2abe59-00159c82,16x4 Connection 8 Diameter Duct,82,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,2.3277,0.00246868097,4.927333851,-2.879725,4.721640305,4.987658851,-2.428875,4.86135,4.981308851,-2.6543,240,hvac,
46f425a9-73b3-4d83-8c3d-78265d2abe59-00159cc8,16x4 Connection 8 Diameter Duct,83,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,2.3277,0.00246868097,9.467640327,-2.879725,4.721640305,9.527965327,-2.428875,4.86135,9.521615327,-2.6543,240,hvac,
46f425a9-73b3-4d83-8c3d-78265d2abe59-00159f6f,16x4 Connection 8 Diameter Duct,86,6341822b-d4f3-11d3-a039-0000863f1523-000026da,,,1.9177,0.00246868097,1.56986619,-0.3997834858,4.311640305,1.63019119,0.05106651417,4.45135,1.62384119,-0.1743584858,240,hvac,
46f425a9-73b3-4d83-8c3d-78265d2abe59-0015a606,"4"" DIA",94,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cbbc,,,0,0.001249534933,2.495283851,-9.527534025,5.1943,2.647683851,-9.425934025,5.3467,2.571483851,-9.425934025,90,hvac,
46f425a9-73b3-4d83-8c3d-78265d2abe59-0015a9ae,"4"" DIA",95,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cbbc,,,0,0.001249534933,8.083283851,-9.527534025,5.1943,8.235683851,-9.425934025,5.3467,8.159483851,-9.425934025,90,hvac,
d6197270-0ef4-4e34-8760-c60ef0c99ec8-0015c060,"4"" DIA",98,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,0,0.001249534933,-6.861175,13.0302,8.9662,-6.708775,13.1318,9.1186,-6.784975,13.0302,180,hvac,
eaa1e96d-0e58-41ad-8fcb-a522a23d402a-0015c703,"12"" x 12""",99,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,0,0.001035165996,-10.3886,4.041775,8.1788,-10.0838,4.346575,8.2121375,-10.2362,4.194175,180,hvac,
eaa1e96d-0e58-41ad-8fcb-a522a23d402a-0015c91e,16x4 Connection 8 Diameter Duct,100,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,3.6576,0.00246868097,-10.02475443,11.0649827,9.328140305,-9.964429427,11.5158327,9.46785,-9.970779427,11.2904077,240,hvac,
eaa1e96d-0e58-41ad-8fcb-a522a23d402a-0015c947,16x4 Connection 8 Diameter Duct,101,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,3.6576,0.00246868097,-10.02475443,7.305675,9.328140305,-9.964429427,7.756525,9.46785,-9.970779427,7.5311,240,hvac,
eaa1e96d-0e58-41ad-8fcb-a522a23d402a-0015c975,16x4 Connection 8 Diameter Duct,102,37026fa4-e8cf-41db-bc86-3c9ebbec55fb-0014cb23,,,3.6576,0.00246868097,-10.02475443,9.134475,9.328140305,-9.964429427,9.585325,9.46785,-9.970779427,9.3599,240,hvac,
