id,number,base_offset,start_z,end_z,shape,size_x,size_y,material
bm-1,,0,8.839,8.839,,0.282,0.467,Steel
bm-2,,0,8.839,8.839,,0.282,0.467,Steel
bm-3,,0,8.839,8.839,,0.282,0.467,Steel
bm-4,,0,8.839,8.839,,0.282,0.467,Steel
bm-5,,0,8.839,8.839,,0.282,0.467,Steel
bm-6,,0,8.839,8.839,,0.282,0.467,Steel
bm-7,,0,8.839,8.839,,0.282,0.467,Steel
bm-8,,0,8.839,8.839,,0.282,0.467,Steel
bm-9,,0,8.839,8.839,,0.282,0.467,Steel
bm-10,,0,8.839,8.839,,0.282,0.467,Steel
bm-11,,0,8.839,8.839,,0.282,0.467,Steel
bm-12,,0,8.839,8.839,,0.282,0.467,Steel
bm-13,,0,8.839,8.839,,0.1,0.2,Steel
bm-14,,0,8.839,8.839,,0.1,0.2,Steel
bm-15,,0,8.839,8.839,,0.1,0.2,Steel
bm-16,,0,8.839,8.839,,0.1,0.2,Steel
bm-17,,0,8.839,8.839,,0.1,0.2,Steel
bm-18,,0,8.839,8.839,,0.1,0.2,Steel
bm-19,,0,8.839,8.839,,0.1,0.2,Steel
bm-20,,0,8.839,8.839,,0.1,0.2,Steel
bm-21,,0,8.839,8.839,,0.1,0.2,Steel
bm-22,,0,8.839,8.839,,0.1,0.2,Steel
bm-23,,0,8.839,8.839,,0.1,0.2,Steel
bm-24,,0,8.839,8.839,,0.1,0.2,Steel
bm-25,,0,8.839,8.839,,0.1,0.2,Steel
bm-26,,0,8.839,8.839,,0.1,0.2,Steel
bm-27,,0,8.839,8.839,,0.1,0.2,Steel
bm-28,,0,8.839,8.839,,0.1,0.2,Steel
bm-29,,0,8.839,8.839,,0.1,0.2,Steel
bm-30,,0,8.839,8.839,,0.1,0.2,Steel
bm-31,,0,8.839,8.839,,0.1,0.2,Steel
bm-32,,0,8.839,8.839,,0.1,0.2,Steel
bm-33,,0,8.839,8.839,,0.1,0.2,Steel
bm-34,,0,8.839,8.839,,0.1,0.2,Steel
