id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id,id
du-1,,0,3,3,round,0.2,0.2,hvac,,,du-1
du-2,,0,3,3,round,0.2,0.2,hvac,,,du-2
du-3,,,7.925,7.925,rect,0.305,0.305,hvac,,,du-3
du-4,,,7.417,7.468,rect,0.305,0.305,hvac,,,du-4
du-5,,,7.417,7.671,rect,0.305,0.305,hvac,,,du-5
du-6,,,7.925,7.925,rect,0.305,0.305,hvac,,,du-6
du-7,,,7.356,7.671,rect,0.254,0.102,hvac,,,du-7
du-8,,,7.356,7.772,rect,0.254,0.102,hvac,,,du-8
du-9,,,7.925,7.925,rect,0.254,0.102,hvac,,,du-9
du-10,,,7.925,7.925,rect,0.305,0.305,hvac,,,du-10
du-11,,,7.417,7.468,rect,0.305,0.305,hvac,,,du-11
du-12,,,7.925,7.925,rect,0.305,0.305,hvac,,,du-12
du-13,,,7.925,7.925,rect,0.305,0.305,hvac,,,du-13
du-14,,,7.417,7.468,rect,0.305,0.305,hvac,,,du-14
du-15,,,7.417,7.468,rect,0.305,0.305,hvac,,,du-15
du-16,,,7.925,7.925,rect,0.305,0.305,hvac,,,du-16
du-17,,,26.067,4.909,rect,0.508,0.508,hvac,,,du-17
