id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
du-18,,,12.497,12.497,rect,0.305,0.305,hvac,,
du-19,,,11.989,12.04,rect,0.305,0.305,hvac,,
du-20,,,11.989,12.243,rect,0.305,0.305,hvac,,
du-21,,,12.497,12.497,rect,0.305,0.305,hvac,,
du-22,,,11.928,12.243,rect,0.254,0.102,hvac,,
du-23,,,11.928,12.344,rect,0.254,0.102,hvac,,
du-24,,,12.497,12.497,rect,0.254,0.102,hvac,,
du-25,,,12.497,12.497,rect,0.305,0.305,hvac,,
du-26,,,11.989,12.04,rect,0.305,0.305,hvac,,
du-27,,,12.497,12.497,rect,0.305,0.305,hvac,,
du-28,,,12.497,12.497,rect,0.305,0.305,hvac,,
du-29,,,11.989,12.04,rect,0.305,0.305,hvac,,
du-30,,,11.989,12.04,rect,0.305,0.305,hvac,,
du-31,,,12.497,12.497,rect,0.305,0.305,hvac,,
du-32,,,28.08,6.706,rect,0.508,0.508,hvac,,
