id,number,base_offset,top_level_id,top_offset,material,shape,size_x,size_y
sc-37,,0,lv-4,0,steel,,0.254,0.254
sc-38,,0,lv-4,0,steel,,0.254,0.254
sc-39,,0,lv-4,0,steel,,0.254,0.254
sc-40,,0,lv-4,0,steel,,0.254,0.254
sc-41,,0,lv-4,0,steel,,0.254,0.254
sc-42,,0,lv-4,0,steel,,0.254,0.254
sc-43,,0,lv-4,0,steel,,0.254,0.254
sc-44,,0,lv-4,0,steel,,0.254,0.254
sc-45,,0,lv-4,0,steel,,0.254,0.254
sc-46,,0,lv-4,0,steel,,0.254,0.254
sc-47,,0,lv-4,0,steel,,0.254,0.254
sc-48,,0,lv-4,0,steel,,0.254,0.254
sc-49,,0,lv-4,0,steel,,0.254,0.254
sc-50,,0,lv-4,0,steel,,0.254,0.254
sc-51,,0,lv-4,0,steel,,0.254,0.254
sc-52,,0,lv-4,0,steel,,0.254,0.254
sc-53,,0,lv-4,0,steel,,0.254,0.254
sc-54,,0,lv-4,0,steel,,0.254,0.254
sc-55,,0,lv-4,0,steel,,0.254,0.254
