id,number,base_offset,host_id,position,material,width,height
wn-21,192,0.914,w-34,0.879,glass,3.048,3.048
wn-22,193,0.914,w-34,0.714,glass,3.048,3.048
wn-23,194,0.914,w-34,0.548,glass,3.048,3.048
wn-24,195,0.914,w-34,0.383,glass,3.048,3.048
wn-25,205,0.914,w-34,0.17,glass,1.016,2.54
wn-26,209,3.658,w-34,0.05,glass,0.66,1.067
wn-27,211,0.914,w-36,0.732,glass,2.54,2.032
wn-28,212,0.914,w-36,0.437,glass,2.54,2.032
wn-29,213,0.914,w-36,0.203,glass,2.54,2.032
wn-30,214,0.914,w-35,0.296,glass,1.016,2.54
wn-31,215,0.914,w-35,0.51,glass,1.016,2.54
wn-32,216,0.914,w-35,0.617,glass,1.016,2.54
wn-33,217,0.914,w-35,0.776,glass,1.016,2.54
wn-34,238,0.305,w-37,0.368,glass,5.588,3.81
wn-35,241,0.914,w-35,0.894,glass,1.016,2.54
