id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
pi-546,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-547,,,18.895,19.177,round,0.025,0.025,plumbing,,
pi-548,,,18.895,19.062,round,0.025,0.025,plumbing,,
pi-549,,,19.202,19.202,round,0.051,0.051,plumbing,,
pi-550,,,18.895,19.062,round,0.025,0.025,plumbing,,
pi-551,,,19.202,19.202,round,0.051,0.051,plumbing,,
pi-552,,,19.202,19.202,round,0.051,0.051,plumbing,,
pi-553,,,19.202,19.202,round,0.051,0.051,plumbing,,
pi-554,,,18.94,19.062,round,0.025,0.025,plumbing,,
pi-555,,,19.202,19.202,round,0.051,0.051,plumbing,,
pi-556,,,19.202,19.202,round,0.051,0.051,plumbing,,
pi-557,,,18.952,19.151,round,0.051,0.051,plumbing,,
pi-558,,,18.453,18.453,round,0.013,0.013,plumbing,,
pi-559,,,18.761,18.468,round,0.013,0.013,plumbing,,
pi-560,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-561,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-562,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-563,,,18.453,18.453,round,0.013,0.013,plumbing,,
pi-564,,,18.761,18.468,round,0.013,0.013,plumbing,,
pi-565,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-566,,,18.453,18.453,round,0.013,0.013,plumbing,,
pi-567,,,18.761,18.468,round,0.013,0.013,plumbing,,
pi-568,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-569,,,18.453,18.453,round,0.013,0.013,plumbing,,
pi-570,,,18.761,18.468,round,0.013,0.013,plumbing,,
pi-571,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-572,,,18.453,18.453,round,0.013,0.013,plumbing,,
pi-573,,,18.761,18.468,round,0.013,0.013,plumbing,,
pi-574,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-575,,,18.453,18.453,round,0.013,0.013,plumbing,,
pi-576,,,18.761,18.468,round,0.013,0.013,plumbing,,
pi-577,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-578,,,18.453,18.453,round,0.013,0.013,plumbing,,
pi-579,,,18.761,18.468,round,0.013,0.013,plumbing,,
pi-580,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-581,,,18.453,18.453,round,0.013,0.013,plumbing,,
pi-582,,,18.761,18.468,round,0.013,0.013,plumbing,,
pi-583,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-584,,,18.453,18.453,round,0.013,0.013,plumbing,,
pi-585,,,18.761,18.468,round,0.013,0.013,plumbing,,
pi-586,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-587,,,18.453,18.453,round,0.013,0.013,plumbing,,
pi-588,,,18.761,18.468,round,0.013,0.013,plumbing,,
pi-589,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-590,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-591,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-592,,,18.339,18.339,round,0.013,0.013,plumbing,,
pi-593,,,18.354,18.761,round,0.013,0.013,plumbing,,
pi-594,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-595,,,18.339,18.339,round,0.013,0.013,plumbing,,
pi-596,,,18.761,18.354,round,0.013,0.013,plumbing,,
pi-597,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-598,,,18.339,18.339,round,0.013,0.013,plumbing,,
pi-599,,,18.761,18.354,round,0.013,0.013,plumbing,,
pi-600,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-601,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-602,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-603,,,18.339,18.339,round,0.013,0.013,plumbing,,
pi-604,,,18.354,18.761,round,0.013,0.013,plumbing,,
pi-605,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-606,,,18.339,18.339,round,0.013,0.013,plumbing,,
pi-607,,,18.761,18.354,round,0.013,0.013,plumbing,,
pi-608,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-609,,,18.339,18.339,round,0.013,0.013,plumbing,,
pi-610,,,18.761,18.354,round,0.013,0.013,plumbing,,
pi-611,,,18.901,18.901,round,0.051,0.051,plumbing,,
pi-612,,,19.507,19.507,round,0.025,0.025,plumbing,,
pi-613,,,19.507,19.507,round,0.025,0.025,plumbing,,
pi-614,,,19.507,19.507,round,0.025,0.025,plumbing,,
pi-615,,,19.507,19.507,round,0.025,0.025,plumbing,,
pi-616,,,18.339,18.339,round,0.013,0.013,plumbing,,
pi-617,,,19.492,18.354,round,0.013,0.013,plumbing,,
pi-618,,,18.339,18.339,round,0.013,0.013,plumbing,,
pi-619,,,19.418,18.354,round,0.013,0.013,plumbing,,
pi-620,,,19.507,19.507,round,0.025,0.025,plumbing,,
pi-621,,,18.339,18.339,round,0.013,0.013,plumbing,,
pi-622,,,18.354,19.418,round,0.013,0.013,plumbing,,
pi-623,,,19.507,19.507,round,0.025,0.025,plumbing,,
pi-624,,,19.507,19.507,round,0.025,0.025,plumbing,,
pi-625,,,19.507,19.507,round,0.025,0.025,plumbing,,
pi-626,,,18.339,18.339,round,0.013,0.013,plumbing,,
pi-627,,,19.492,18.354,round,0.013,0.013,plumbing,,
pi-628,,,18.339,18.339,round,0.013,0.013,plumbing,,
pi-629,,,18.354,19.418,round,0.013,0.013,plumbing,,
pi-630,,,19.507,19.507,round,0.025,0.025,plumbing,,
pi-631,,,18.339,18.339,round,0.013,0.013,plumbing,,
pi-632,,,18.354,19.418,round,0.013,0.013,plumbing,,
pi-633,,,19.507,19.507,round,0.025,0.025,plumbing,,
pi-634,,,18.278,17.729,round,0.051,0.051,plumbing,,
pi-635,,,17.678,17.678,round,0.051,0.051,plumbing,,
pi-636,,,17.678,17.678,round,0.102,0.102,plumbing,,
pi-637,,,17.678,17.678,round,0.102,0.102,plumbing,,
pi-638,,,17.983,17.78,round,0.102,0.102,plumbing,,
pi-639,,,17.678,17.678,round,0.102,0.102,plumbing,,
pi-640,,,17.678,17.678,round,0.102,0.102,plumbing,,
pi-641,,,17.983,17.78,round,0.102,0.102,plumbing,,
pi-642,,,17.678,17.678,round,0.102,0.102,plumbing,,
pi-643,,,17.678,17.678,round,0.102,0.102,plumbing,,
pi-644,,,17.983,17.78,round,0.102,0.102,plumbing,,
pi-645,,,17.678,17.678,round,0.102,0.102,plumbing,,
pi-646,,,17.678,17.678,round,0.102,0.102,plumbing,,
pi-647,,,17.983,17.78,round,0.102,0.102,plumbing,,
pi-648,,,17.678,17.678,round,0.102,0.102,plumbing,,
pi-649,,,17.678,17.678,round,0.102,0.102,plumbing,,
pi-650,,,17.983,17.78,round,0.102,0.102,plumbing,,
pi-651,,,17.678,17.678,round,0.102,0.102,plumbing,,
pi-652,,,17.678,17.678,round,0.102,0.102,plumbing,,
