id,number,base_offset,top_level_id,top_offset,material,thickness
w-49,,0,lv-6,0,steel,0.371
w-50,,0,lv-6,0,steel,0.371
w-51,,0,lv-6,0,steel,0.371
w-52,,0,lv-6,0,wood,0.114
w-53,,0,lv-6,0,wood,0.114
w-54,,0,lv-6,0,wood,0.114
w-55,,0,lv-6,0,wood,0.114
w-56,,0,lv-6,0,wood,0.114
w-57,,0,lv-6,0,wood,0.114
w-58,,0,lv-6,0,wood,0.114
w-59,,0,lv-6,0,wood,0.114
w-60,,0,lv-6,0,wood,0.114
w-61,,0,lv-6,0,wood,0.114
w-62,,0,lv-6,0,wood,0.114
w-63,,0,lv-6,0,wood,0.114
w-64,,0,lv-6,0,wood,0.114
w-65,,0,lv-6,0,wood,0.114
w-66,,0,lv-6,0,wood,0.114
