id,number,base_offset,top_level_id,top_offset,material
w-67,,0,lv-7,0,Metal Stud Layer
w-68,,0,lv-7,0,Metal Stud Layer
w-69,,0,lv-7,0,Metal Stud Layer
w-70,,0,lv-7,0,"Softwood, Lumber"
w-71,,0,lv-7,0,"Softwood, Lumber"
w-72,,0,lv-7,0,"Softwood, Lumber"
w-73,,0,lv-7,0,"Softwood, Lumber"
w-74,,0,lv-7,0,"Softwood, Lumber"
w-75,,0,lv-7,0,"Softwood, Lumber"
w-76,,0,lv-7,0,"Softwood, Lumber"
w-77,,0,lv-7,0,"Softwood, Lumber"
w-78,,0,lv-7,0,"Softwood, Lumber"
w-79,,0,lv-7,0,"Softwood, Lumber"
w-80,,0,lv-7,0,"Softwood, Lumber"
w-81,,0,lv-7,0,"Softwood, Lumber"
w-82,,0,lv-7,0,"Softwood, Lumber"
w-83,,0,lv-7,0,"Softwood, Lumber"
w-84,,0,lv-7,0,Glass
w-85,,0,lv-7,0,Glass
w-86,,0,lv-7,0,Glass
w-87,,0,lv-7,0,Glass
w-88,,0,lv-7,0,Glass
w-89,,0,lv-7,0,Glass
w-90,,0,lv-7,0,Glass
