id,number,start_x,start_y,end_x,end_y
gr-1,1,-33.68,-10.839,-33.68,16.928
gr-2,E,-34.763,12.636,23.704,12.636
gr-3,D,-34.763,5.855,23.704,5.855
gr-4,C,-34.763,0.762,23.704,0.762
gr-5,A,-34.763,-8.395,23.704,-8.395
gr-6,B,-34.763,-3.874,23.704,-3.874
gr-7,4,-15.011,-10.839,-15.011,16.928
gr-8,5,-6.172,-10.839,-6.172,16.928
gr-9,6,1.092,-10.839,1.092,16.928
gr-10,8,12.573,-10.839,12.573,16.928
gr-11,9,21.937,-10.839,18.281,16.928
gr-12,7,7.29,-10.839,7.29,16.928
gr-13,2,-27.673,-10.839,-27.673,16.928
gr-14,3,-21.336,-10.839,-21.336,16.928
gr-15,B.1,-34.763,-1.765,23.704,-1.765
