id,number,start_x,start_y,end_x,end_y
gr-1,1,-33.6804,-10.83911088,-33.6804,16.92820718
gr-2,E,-34.76302991,12.6365,23.70422548,12.6365
gr-3,D,-34.76302991,5.8547,23.70422548,5.8547
gr-4,C,-34.76302991,0.762,23.70422548,0.762
gr-5,A,-34.76302991,-8.3947,23.70422548,-8.3947
gr-6,B,-34.76302991,-3.8735,23.70422548,-3.8735
gr-7,4,-15.0114,-10.83911088,-15.0114,16.92820718
gr-8,5,-6.1722,-10.83911088,-6.1722,16.92820718
gr-9,6,1.0922,-10.83911088,1.0922,16.92820718
gr-10,8,12.573,-10.83911088,12.573,16.92820718
gr-11,9,21.93701313,-10.83911088,18.28137636,16.92820718
gr-12,7,7.2898,-10.83911088,7.2898,16.92820718
gr-13,2,-27.6733,-10.83911088,-27.6733,16.92820718
gr-14,3,-21.336,-10.83911088,-21.336,16.92820718
gr-15,B.1,-34.76302991,-1.7653,23.70422548,-1.7653
