id,number,name,elevation
933c4a06-93b8-11d3-80f8-00c04f8efc32-0000001e,,L1 - Block 43,0
6341822b-d4f3-11d3-a039-0000863f1523-000026da,,L2,2.4638
b1b19cba-8df3-40e6-9dbf-7caa44ec46cd-0014ca79,,L1 - Block 35,-1.8034
b1b19cba-8df3-40e6-9dbf-7caa44ec46cd-0014cabe,,L3,5.7404
b1b19cba-8df3-40e6-9dbf-7caa44ec46cd-0014cb05,,L1 - Block 37,-1.0541
b1b19cba-8df3-40e6-9dbf-7caa44ec46cd-0014cb60,,Parking,-5.1562
b1b19cba-8df3-40e6-9dbf-7caa44ec46cd-0014cba6,,L4,9.8044
b1b19cba-8df3-40e6-9dbf-7caa44ec46cd-0014cc2a,,L5,13.8684
b1b19cba-8df3-40e6-9dbf-7caa44ec46cd-0014cc31,,R1,16.0528
b1b19cba-8df3-40e6-9dbf-7caa44ec46cd-0014cc76,,R2,17.9324
b1b19cba-8df3-40e6-9dbf-7caa44ec46cd-0014ccb6,,M1,1.6764
