id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
du-140,,,0.178,0.53,round,0.102,0.102,hvac,,
du-141,,,0.927,1.185,round,0.102,0.102,hvac,,
du-142,,,0.927,1.524,round,0.102,0.102,hvac,,
du-143,,,1.08,2.604,round,0.102,0.102,hvac,,
du-146,,,0.178,0.324,round,0.102,0.102,hvac,,
du-147,,,0.432,0.562,round,0.102,0.102,hvac,,
du-148,,,0.927,0.927,round,0.102,0.102,hvac,,
du-149,,,0.67,0.775,round,0.102,0.102,hvac,,
du-150,,,1.337,1.337,round,0.102,0.102,hvac,,
du-151,,,0.927,1.185,round,0.102,0.102,hvac,,
du-155,,,1.337,1.337,round,0.102,0.102,hvac,,
du-156,,,0.683,0.683,round,0.102,0.102,hvac,,
