id,number,base_offset,system_type
mn-466,,1.219,plumbing
mn-467,,1.219,plumbing
mn-468,,1.219,plumbing
mn-469,,1.219,plumbing
mn-470,,1.219,plumbing
mn-471,,1.155,plumbing
mn-472,,1.219,plumbing
mn-473,,1.155,plumbing
mn-474,,1.219,plumbing
mn-475,,1.219,plumbing
mn-476,,1.155,plumbing
mn-477,,0.918,plumbing
mn-478,,1.219,plumbing
mn-479,,0.918,plumbing
mn-480,,0.854,plumbing
mn-481,,0.47,plumbing
mn-482,,0.918,plumbing
mn-483,,0.918,plumbing
mn-484,,0.918,plumbing
mn-485,,0.918,plumbing
mn-486,,0.854,plumbing
mn-487,,0.47,plumbing
mn-488,,0.918,plumbing
mn-489,,0.854,plumbing
mn-490,,0.47,plumbing
mn-491,,0.918,plumbing
mn-492,,0.854,plumbing
mn-493,,0.47,plumbing
mn-494,,0.918,plumbing
mn-495,,0.854,plumbing
mn-496,,0.47,plumbing
mn-497,,0.918,plumbing
mn-498,,0.854,plumbing
mn-499,,0.47,plumbing
mn-500,,0.918,plumbing
mn-501,,0.854,plumbing
mn-502,,0.47,plumbing
mn-503,,0.918,plumbing
mn-504,,0.854,plumbing
mn-505,,0.47,plumbing
mn-506,,0.918,plumbing
mn-507,,0.854,plumbing
mn-508,,0.47,plumbing
mn-509,,0.918,plumbing
mn-510,,0.854,plumbing
mn-511,,0.47,plumbing
mn-512,,0.918,plumbing
mn-513,,0.918,plumbing
mn-514,,0.356,plumbing
mn-515,,0.918,plumbing
mn-516,,0.854,plumbing
mn-517,,0.918,plumbing
mn-518,,0.854,plumbing
mn-519,,0.356,plumbing
mn-520,,0.918,plumbing
mn-521,,0.854,plumbing
mn-522,,0.356,plumbing
mn-523,,0.918,plumbing
mn-524,,0.918,plumbing
mn-525,,0.356,plumbing
mn-526,,0.918,plumbing
mn-527,,0.854,plumbing
mn-528,,0.918,plumbing
mn-529,,0.854,plumbing
mn-530,,0.356,plumbing
mn-531,,0.918,plumbing
mn-532,,0.854,plumbing
mn-533,,0.356,plumbing
mn-534,,1.524,plumbing
mn-535,,1.524,plumbing
mn-536,,1.524,plumbing
mn-537,,1.524,plumbing
mn-538,,1.524,plumbing
mn-539,,1.524,plumbing
mn-540,,1.524,plumbing
mn-541,,0.356,plumbing
mn-542,,1.524,plumbing
mn-543,,1.486,plumbing
mn-544,,0.356,plumbing
mn-545,,0.356,plumbing
mn-546,,1.524,plumbing
mn-547,,1.486,plumbing
mn-548,,1.524,plumbing
mn-549,,1.524,plumbing
mn-550,,1.524,plumbing
mn-551,,0.356,plumbing
mn-552,,0.356,plumbing
mn-553,,1.524,plumbing
mn-554,,1.486,plumbing
mn-555,,0.356,plumbing
mn-556,,1.524,plumbing
mn-557,,1.486,plumbing
mn-558,,-0.305,plumbing
mn-559,,-0.305,plumbing
mn-560,,-0.305,plumbing
mn-561,,-0.305,plumbing
mn-562,,-0.305,plumbing
mn-563,,-0.305,plumbing
mn-564,,-0.305,plumbing
mn-565,,-0.305,plumbing
mn-566,,-0.305,plumbing
mn-567,,-0.305,plumbing
mn-568,,-0.305,plumbing
mn-569,,-0.305,plumbing
mn-570,,-0.305,plumbing
mn-571,,-0.305,plumbing
mn-572,,-0.305,plumbing
mn-573,,-0.305,plumbing
mn-574,,-0.305,plumbing
mn-575,,-0.305,plumbing
mn-576,,-0.305,plumbing
mn-577,,-0.305,plumbing
mn-578,,-0.305,plumbing
mn-579,,-0.305,plumbing
mn-580,,-0.305,plumbing
mn-581,,-0.305,plumbing
mn-582,,-0.305,plumbing
mn-583,,-0.305,plumbing
mn-584,,-0.305,plumbing
mn-585,,-0.305,plumbing
mn-586,,-0.305,plumbing
mn-587,,-0.305,plumbing
mn-588,,-0.305,plumbing
mn-589,,-0.305,plumbing
mn-590,,-0.305,plumbing
mn-591,,-0.305,plumbing
mn-592,,-0.305,plumbing
mn-593,,-0.305,plumbing
mn-594,,-0.305,plumbing
mn-595,,-0.305,plumbing
mn-596,,-0.305,plumbing
mn-597,,-0.305,plumbing
mn-598,,-0.305,plumbing
mn-599,,-0.305,plumbing
mn-600,,-0.305,plumbing
mn-601,,-0.305,plumbing
mn-602,,-0.305,plumbing
mn-603,,-0.305,plumbing
mn-604,,-0.305,plumbing
mn-605,,-0.305,plumbing
mn-606,,-0.305,plumbing
mn-607,,-0.305,plumbing
mn-608,,-0.305,plumbing
mn-609,,-0.305,plumbing
mn-610,,-0.305,plumbing
mn-611,,-0.305,plumbing
mn-612,,-0.305,plumbing
mn-613,,-0.305,plumbing
mn-614,,-0.305,plumbing
mn-615,,-0.305,plumbing
mn-616,,-0.305,plumbing
mn-617,,-0.305,plumbing
mn-618,,-0.305,plumbing
mn-619,,-0.305,plumbing
mn-620,,-0.305,plumbing
