id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
pi-645,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-646,,,23.467,23.749,round,0.025,0.025,plumbing,,
pi-647,,,23.467,23.634,round,0.025,0.025,plumbing,,
pi-648,,,23.774,23.774,round,0.051,0.051,plumbing,,
pi-649,,,23.467,23.634,round,0.025,0.025,plumbing,,
pi-650,,,23.774,23.774,round,0.051,0.051,plumbing,,
pi-651,,,23.774,23.774,round,0.051,0.051,plumbing,,
pi-652,,,23.774,23.774,round,0.051,0.051,plumbing,,
pi-653,,,23.512,23.634,round,0.025,0.025,plumbing,,
pi-654,,,23.774,23.774,round,0.051,0.051,plumbing,,
pi-655,,,23.774,23.774,round,0.051,0.051,plumbing,,
pi-656,,,23.524,23.723,round,0.051,0.051,plumbing,,
pi-657,,,23.025,23.025,round,0.013,0.013,plumbing,,
pi-658,,,23.333,23.04,round,0.013,0.013,plumbing,,
pi-659,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-660,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-661,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-662,,,23.025,23.025,round,0.013,0.013,plumbing,,
pi-663,,,23.333,23.04,round,0.013,0.013,plumbing,,
pi-664,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-665,,,23.025,23.025,round,0.013,0.013,plumbing,,
pi-666,,,23.333,23.04,round,0.013,0.013,plumbing,,
pi-667,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-668,,,23.025,23.025,round,0.013,0.013,plumbing,,
pi-669,,,23.333,23.04,round,0.013,0.013,plumbing,,
pi-670,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-671,,,23.025,23.025,round,0.013,0.013,plumbing,,
pi-672,,,23.333,23.04,round,0.013,0.013,plumbing,,
pi-673,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-674,,,23.025,23.025,round,0.013,0.013,plumbing,,
pi-675,,,23.333,23.04,round,0.013,0.013,plumbing,,
pi-676,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-677,,,23.025,23.025,round,0.013,0.013,plumbing,,
pi-678,,,23.333,23.04,round,0.013,0.013,plumbing,,
pi-679,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-680,,,23.025,23.025,round,0.013,0.013,plumbing,,
pi-681,,,23.333,23.04,round,0.013,0.013,plumbing,,
pi-682,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-683,,,23.025,23.025,round,0.013,0.013,plumbing,,
pi-684,,,23.333,23.04,round,0.013,0.013,plumbing,,
pi-685,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-686,,,23.025,23.025,round,0.013,0.013,plumbing,,
pi-687,,,23.333,23.04,round,0.013,0.013,plumbing,,
pi-688,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-689,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-690,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-691,,,22.911,22.911,round,0.013,0.013,plumbing,,
pi-692,,,22.926,23.333,round,0.013,0.013,plumbing,,
pi-693,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-694,,,22.911,22.911,round,0.013,0.013,plumbing,,
pi-695,,,23.333,22.926,round,0.013,0.013,plumbing,,
pi-696,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-697,,,22.911,22.911,round,0.013,0.013,plumbing,,
pi-698,,,23.333,22.926,round,0.013,0.013,plumbing,,
pi-699,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-700,,,23.473,23.473,round,0.051,0.051,plumbing,,
