id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,start_x,start_y,end_x,end_y,length,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
pi-1,PVC - DWV,,lv-5,,,,0.0046793518,11.7063068,12.16025,-1.594364296,11.8206068,12.27455,-1.138301,11.7634568,12.2174,11.7634568,12.2174,0.456063296,-1.138301,-1.594364296,,,,plumbing,,
pi-2,PVC - DWV,,lv-4,,,,0.004446039524,13.1572,4.1195625,5.222875,13.2715,4.2338625,5.656199,13.21435,4.1767125,13.21435,4.1767125,0.433324,5.222875,5.656199,,,,plumbing,,
pi-3,PVC - DWV,,lv-4,,,,0.004446039524,13.1572,5.108575,5.222875,13.2715,5.222875,5.656199,13.21435,5.165725,13.21435,5.165725,0.433324,5.222875,5.656199,,,,plumbing,,
pi-4,PVC - DWV,,lv-4,,,,0.003924815664,9.40435,5.233144118,5.273675,9.51865,5.347444118,5.656199,9.4615,5.290294118,9.4615,5.290294118,0.382524,5.656199,5.273675,,,,plumbing,,
pi-5,PVC - DWV,,lv-4,,,,0.003924815664,6.639015399,5.267325,5.273675,6.753315399,5.381625,5.656199,6.696165399,5.324475,6.696165399,5.324475,0.382524,5.656199,5.273675,,,,plumbing,,
pi-6,PVC - DWV,,lv-7,,,,0.004446039524,13.1572,4.1195625,9.286875,13.2715,4.2338625,9.720199,13.21435,4.1767125,13.21435,4.1767125,0.433324,9.720199,9.286875,,,,plumbing,,
pi-7,PVC - DWV,,lv-7,,,,0.004446039524,13.1572,5.108575,9.286875,13.2715,5.222875,9.720199,13.21435,5.165725,13.21435,5.165725,0.433324,9.720199,9.286875,,,,plumbing,,
pi-8,PVC - DWV,,lv-7,,,,0.003924815664,9.40435,5.233144118,9.337675,9.51865,5.347444118,9.720199,9.4615,5.290294118,9.4615,5.290294118,0.382524,9.720199,9.337675,,,,plumbing,,
pi-9,PVC - DWV,,lv-7,,,,0.003927720661,6.638036046,5.267325,9.33724678,6.753315933,5.381625,9.720345345,6.695185859,5.324475,6.696166121,5.324475,0.3828071295,9.720199,9.337393126,,,,plumbing,,
pi-10,PVC - DWV,,lv-7,,,,0.0004717075931,-2.136775,5.159375,9.674225,-2.022475,5.273675,9.720199,-2.079625,5.216525,-2.079625,5.216525,0.045974,9.720199,9.674225,,,,plumbing,,
pi-11,PVC - DWV,,lv-7,,,,0.001367430796,-2.136775,3.146425,9.5869252,-2.022475,3.260725,9.720199,-2.079625,3.203575,-2.079625,3.203575,0.1332738,9.720199,9.5869252,,,,plumbing,,
pi-12,PVC - DWV,,lv-8,,,,0.003924815664,9.40435,5.233144118,13.401675,9.51865,5.347444118,13.784199,9.4615,5.290294118,9.4615,5.290294118,0.382524,13.784199,13.401675,,,,plumbing,,
pi-13,PVC - DWV,,lv-8,,,,0.003924815664,6.636547648,5.267325,13.401675,6.750847648,5.381625,13.784199,6.693697648,5.324475,6.693697648,5.324475,0.382524,13.784199,13.401675,,,,plumbing,,
pi-14,PVC - DWV,,lv-4,,,,0.002329223377,-29.76395325,12.18151985,5.197474585,-29.64965325,12.29581985,5.4244875,-29.70680325,12.23866985,-29.70680325,12.23866985,0.2270129146,5.4244875,5.197474585,,,,plumbing,,
pi-15,PVC - DWV,,lv-2,,,,0.004055121629,-2.17805,3.146425,1.984375,-2.06375,3.260725,2.379599,-2.1209,3.203575,-2.1209,3.203575,0.395224,2.379599,1.984375,,,,plumbing,,
pi-16,PVC - DWV,,lv-2,,,,0.002882367945,6.641014189,5.267325,2.098675,6.755314189,5.381625,2.379599,6.698164189,5.324475,6.698164189,5.324475,0.280924,2.379599,2.098675,,,,plumbing,,
pi-17,PVC - DWV,,lv-2,,,,0.002882367945,9.40435,5.233144118,2.098675,9.51865,5.347444118,2.379599,9.4615,5.290294118,9.4615,5.290294118,0.280924,2.379599,2.098675,,,,plumbing,,
pi-18,PVC - DWV,,lv-8,,,,0.006530934963,-3.7338,6.276975,17.211675,-3.6195,6.391275,17.848199,-3.67665,6.334125,-3.67665,6.334125,0.636524,17.848199,17.211675,,,,plumbing,,
pi-19,PVC - DWV,,lv-10,,,,0.006530934963,-4.918075,6.276975,17.211675,-4.803775,6.391275,17.848199,-4.860925,6.334125,-4.860925,6.334125,0.636524,17.848199,17.211675,,,,plumbing,,
