id,uuid,directory
lv-1,e3e052f9-0156-11d5-9301-0000863f27ad-00000137,global
lv-2,458c0e49-01bb-11d5-9302-0000863f27ad-000002b6,global
lv-3,e755b16e-7be3-4a21-978e-6b4aa426b0a4-00021496,global
lv-4,e755b16e-7be3-4a21-978e-6b4aa426b0a4-00021642,global
lv-5,e755b16e-7be3-4a21-978e-6b4aa426b0a4-0002175f,global
gr-1,ca95b0fd-ff46-4c93-859e-c33943bda831-00021867,global
gr-2,ca95b0fd-ff46-4c93-859e-c33943bda831-000218c9,global
gr-3,ca95b0fd-ff46-4c93-859e-c33943bda831-00021912,global
gr-4,ca95b0fd-ff46-4c93-859e-c33943bda831-0002194e,global
gr-5,ca95b0fd-ff46-4c93-859e-c33943bda831-00021991,global
gr-6,ca95b0fd-ff46-4c93-859e-c33943bda831-000219ce,global
gr-7,ca95b0fd-ff46-4c93-859e-c33943bda831-000219fe,global
gr-8,ca95b0fd-ff46-4c93-859e-c33943bda831-00021a39,global
gr-9,ca95b0fd-ff46-4c93-859e-c33943bda831-00021a6f,global
gr-10,ca95b0fd-ff46-4c93-859e-c33943bda831-00021ac1,global
gr-11,ca95b0fd-ff46-4c93-859e-c33943bda831-00021b75,global
gr-12,ca95b0fd-ff46-4c93-859e-c33943bda831-00021bc5,global
gr-13,ca95b0fd-ff46-4c93-859e-c33943bda831-00021c01,global
gr-14,ca95b0fd-ff46-4c93-859e-c33943bda831-00021c64,global
gr-15,ca95b0fd-ff46-4c93-859e-c33943bda831-00021c9a,global
gr-16,ca95b0fd-ff46-4c93-859e-c33943bda831-00021cda,global
gr-17,ca95b0fd-ff46-4c93-859e-c33943bda831-00021d12,global
gr-18,ca95b0fd-ff46-4c93-859e-c33943bda831-00021d4b,global
gr-19,ca95b0fd-ff46-4c93-859e-c33943bda831-00021d83,global
gr-20,ca95b0fd-ff46-4c93-859e-c33943bda831-00021dc7,global
gr-21,3afed900-237c-4b27-b704-863019b98caf-000220b8,global
gr-22,3afed900-237c-4b27-b704-863019b98caf-00022108,global
w-1,6949fe39-3e9a-4d4d-b7fe-71339c615138-0002224e,global
cw-1,6949fe39-3e9a-4d4d-b7fe-71339c615138-0002224f,global
cw-2,6949fe39-3e9a-4d4d-b7fe-71339c615138-00022250,global
w-2,6949fe39-3e9a-4d4d-b7fe-71339c615138-00022251,global
cw-3,6949fe39-3e9a-4d4d-b7fe-71339c615138-00022252,global
cw-4,6949fe39-3e9a-4d4d-b7fe-71339c615138-000222e3,global
cw-5,6949fe39-3e9a-4d4d-b7fe-71339c615138-000222e6,global
cw-6,6949fe39-3e9a-4d4d-b7fe-71339c615138-000222e9,global
cw-7,6949fe39-3e9a-4d4d-b7fe-71339c615138-000222ec,global
cw-8,6949fe39-3e9a-4d4d-b7fe-71339c615138-000222ef,global
cw-9,6949fe39-3e9a-4d4d-b7fe-71339c615138-000222f2,global
w-3,9ddc7feb-6f54-4b53-9ca4-7923d929ea52-000231f2,global
w-4,9ddc7feb-6f54-4b53-9ca4-7923d929ea52-000232b3,global
