id,number,base_offset,mesh_file,start_z,end_z,shape,size_x,size_y,material
bm-1,,0,,4.039,4.094,round,0.309,0.309,steel
bm-2,,0,,3.72,4.094,round,0.309,0.309,steel
bm-3,,0,,3.68,3.68,,,0.203,composite
bm-4,,0,,3.698,3.698,,,0.203,composite
bm-5,,0,,3.717,3.717,,,0.203,composite
bm-6,,0,,3.735,3.735,,,0.203,composite
bm-7,,0,,3.754,3.754,,,0.203,composite
bm-8,,0,,3.772,3.772,,,0.203,composite
bm-9,,0,,3.791,3.791,,,0.203,composite
bm-10,,0,,3.809,3.809,,,0.203,composite
bm-11,,0,,3.828,3.828,,,0.203,composite
bm-12,,0,,3.846,3.846,,,0.203,composite
bm-13,,0,,3.865,3.865,,,0.203,composite
bm-14,,0,,3.883,3.883,,,0.203,composite
bm-15,,0,,3.902,3.902,,,0.203,composite
bm-16,,0,,3.921,3.921,,,0.203,composite
bm-17,,0,,3.939,3.939,,,0.203,composite
bm-18,,0,,3.958,3.958,,,0.203,composite
bm-19,,0,,3.976,3.976,,,0.203,composite
bm-20,,0,,3.995,3.995,,,0.203,composite
bm-21,,0,,4.013,4.013,,,0.203,composite
bm-22,,0,,4.032,4.032,,,0.203,composite
bm-23,,0,,4.05,4.05,,,0.203,composite
bm-24,,0,,4.069,4.069,,,0.203,composite
bm-25,,0,,4.087,4.087,,,0.203,composite
bm-26,,0,,-0.4,-0.4,,0.3,0.6,concrete
bm-27,,0,,-0.4,-0.4,,0.3,0.6,concrete
bm-28,,0,,-0.4,-0.4,,0.3,0.6,concrete
bm-29,,0,,-0.4,-0.4,,0.3,0.6,concrete
bm-30,,0,,-0.4,-0.4,,0.3,0.6,concrete
bm-31,,0,,-0.4,-0.4,,0.3,0.6,concrete
bm-32,,0,,-0.4,-0.4,,0.3,0.6,concrete
bm-33,,0,,-0.4,-0.4,,0.3,0.6,concrete
bm-34,,0,,-0.4,-0.4,,0.3,0.6,concrete
bm-35,,0,,-0.4,-0.4,,0.3,0.6,concrete
bm-36,,0,,-0.4,-0.4,,0.3,0.6,concrete
bm-37,,0,,-0.4,-0.4,,0.3,0.6,concrete
