id,number,base_offset,mesh_file,top_level_id,top_offset,material,u_grid_count,v_grid_count,u_spacing,v_spacing,panel_material
cw-1,,0,,lv-4,0,composite,9,4,1.265,2,Glass
cw-2,,0,,lv-4,0,composite,9,4,1.265,2,Glass
cw-3,,0,,lv-4,0,composite,9,1,1.265,,Glass
cw-4,,0,,lv-4,0,composite,9,24,1.265,2,Glass
cw-5,,0,,lv-4,0,composite,9,2,1.265,2,Glass
cw-6,,0,,lv-4,0,composite,9,10,1.265,2,Glass
cw-7,,0,,lv-3,-1,composite,12,5,,,Glass
cw-8,,0,,lv-3,-1,composite,11,3,0.61,,Glass
cw-9,,0,,lv-3,-1,composite,11,3,0.61,2.44,Glass
cw-12,,0,,lv-4,0,composite,9,8,1.265,2,Glass
cw-13,,0,,lv-4,0,composite,2,8,0.241,,Glass
cw-14,,0,,lv-4,0,composite,9,12,1.265,2,Glass
cw-16,,0,,lv-4,0,composite,9,20,1.265,2,Glass
cw-18,,0,,lv-4,0,composite,9,1,1.265,,Glass
cw-19,,0,,lv-4,0,composite,4,2,1.265,2,Glass
cw-20,,0,,lv-4,0,composite,9,5,1.265,2,Glass
cw-21,,0,,lv-4,0,composite,9,3,1.265,2,Glass
cw-22,,0,,lv-4,0,composite,9,0,1.265,,Glass
cw-32,,0,,lv-4,0,composite,6,1,1.265,,Glass
cw-33,,0,,lv-4,0,composite,6,1,1.265,,Glass
