id,number,start_x,start_y,end_x,end_y
gr-1,1,-9.202,35.412,-9.202,-28.311
gr-2,2,0.755,35.412,0.755,-28.311
gr-3,3,6.648,35.412,6.648,-28.311
gr-4,4,12.947,35.412,12.947,-28.311
gr-5,5,19.449,35.412,19.449,-28.311
gr-6,6,25.952,35.412,25.952,-28.311
gr-7,7,32.454,-8.407,32.454,-28.311
gr-8,8,38.956,-8.407,38.956,-28.311
gr-9,9,45.459,-8.407,45.459,-28.311
gr-10,10,56.228,-8.407,56.228,-28.311
gr-11,A,30.823,29.994,-17.001,29.994
gr-12,B,30.823,22.679,-17.001,22.679
gr-13,C,30.823,19.427,-17.001,19.427
gr-14,D,9.838,13.128,-17.001,13.128
gr-15,E,9.838,6.829,-17.001,6.829
gr-16,F,9.838,0.53,-17.001,0.53
gr-17,G,15.733,-5.769,-17.001,-5.769
gr-18,H,58.751,-12.069,-17.001,-12.069
gr-19,I,58.751,-15.32,-17.001,-15.32
gr-20,J,58.751,-22.635,-17.001,-22.635
gr-21,1.1,-1.887,35.412,-1.887,-28.311
gr-22,F.1,15.733,-1.413,-17.001,-1.413
