id,category,name,level_id,mesh_file,x,y,z,rotation
ms-1,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,13.716,-23.356,2.555,90
ms-2,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,15.716,-23.356,2.555,90
ms-3,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,17.716,-23.356,2.555,90
ms-4,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,19.716,-23.356,2.555,90
ms-5,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,21.716,-23.356,2.555,90
ms-6,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,23.716,-23.356,2.555,90
ms-7,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,25.716,-23.356,2.555,90
ms-8,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,27.716,-23.356,2.555,90
ms-9,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,29.716,-23.356,2.555,90
ms-10,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,31.716,-23.356,2.555,90
ms-11,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,33.716,-23.356,2.555,90
ms-12,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,35.716,-23.356,2.555,90
ms-13,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,37.716,-23.356,2.555,90
ms-14,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,39.716,-23.356,2.555,90
ms-15,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,41.716,-23.356,2.555,90
ms-16,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,43.716,-23.356,2.555,90
ms-17,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,45.716,-23.356,2.555,90
ms-18,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,47.716,-23.356,2.555,90
ms-19,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,49.716,-23.356,2.555,90
ms-20,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,51.716,-23.356,2.555,90
ms-21,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,-2.797,-23.356,2.555,90
ms-22,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,-4.797,-23.356,2.555,90
ms-23,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,-6.797,-23.356,2.555,90
ms-24,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,-8.797,-23.356,2.555,90
ms-25,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,-9.847,-21.74,2.555,240
ms-26,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,-9.847,-19.74,2.555,240
ms-27,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,-9.847,-17.74,2.555,240
ms-28,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,-9.847,-15.74,2.555,240
ms-29,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,-9.847,-13.74,2.555,240
ms-30,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,-9.847,-11.74,2.555,240
ms-31,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,-9.847,-9.74,2.555,240
ms-32,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,-9.847,-7.74,2.555,240
ms-33,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,-9.847,-5.74,2.555,240
ms-34,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,-9.847,-3.74,2.555,240
ms-35,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,-9.847,-1.74,2.555,240
ms-36,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,-9.847,0.26,2.555,240
ms-37,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,-9.847,23.589,2.555,240
ms-38,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,-9.847,25.589,2.555,240
ms-39,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,-9.847,27.589,2.555,240
ms-40,Generic Models,SHADE SUPPORT,,mesh/ms-1.glb,-9.847,29.589,2.555,240
ms-41,Generic Models,Potted Plant,lv-3,mesh/ms-41.glb,6.273,-4.959,8.006,0
ms-42,Generic Models,Potted Plant,lv-3,mesh/ms-41.glb,6.654,-2.064,8.006,0
ms-1,Furniture,0915mm Diameter,lv-1,mesh/ms-1.glb,-7.986,29.089,-0,0
ms-2,Furniture,M_Chair-Breuer,lv-1,mesh/ms-1.glb,-7.986,29.545,0,180
ms-3,Furniture,M_Chair-Breuer,lv-1,mesh/ms-1.glb,-8.441,29.089,0,270
ms-4,Furniture,M_Chair-Breuer,lv-1,mesh/ms-1.glb,-7.53,29.089,0,90
ms-5,Furniture,M_Chair-Breuer,lv-1,mesh/ms-1.glb,-7.986,28.634,0,360
ms-6,Furniture,0915mm Diameter,lv-1,mesh/ms-1.glb,-7.986,26.989,-0,0
ms-7,Furniture,M_Chair-Breuer,lv-1,mesh/ms-1.glb,-7.986,27.445,0,180
