id,number,base_offset,mesh_file,top_level_id,top_offset,material,thickness
w-1,,0,,lv-4,0,concrete,0.303
w-2,,0,,lv-4,0,concrete,0.303
w-5,,0,,lv-4,0,steel,0.138
w-8,,0,,lv-4,0,composite,0.2
w-16,,0,,lv-4,0,concrete,0.303
w-24,,0,,lv-4,0,composite,0.2
w-25,,0,,lv-4,0,concrete,0.303
w-26,,0,,lv-4,0,composite,0.2
w-41,,0,,lv-4,0,composite,0.2
w-42,,0,,lv-4,0,concrete,0.303
w-43,,0,,lv-4,0,concrete,0.225
w-44,,0,,lv-4,0,concrete,0.225
w-45,,0,,lv-4,0,concrete,0.225
w-46,,0,,lv-4,0,concrete,0.225
w-145,,0,,lv-4,0,concrete,0.303
