id,number,base_offset,mesh_file,material,height_offset
cl-20,,,,composite,2.6
cl-21,,,,composite,2.6
cl-22,,,,composite,2.6
cl-23,,,,composite,2.6
cl-24,,,,composite,2.6
cl-25,,,,composite,2.6
cl-26,,,,composite,2.6
cl-27,,,,composite,2.6
cl-28,,,,composite,2.6
cl-29,,,,composite,2.6
cl-30,,,,composite,2.6
cl-31,,,,composite,2.6
cl-32,,,,composite,2.6
cl-33,,,,composite,2.6
cl-34,,,,composite,2.6
cl-35,,,,composite,2.6
cl-36,,,,composite,2.6
cl-37,,,,composite,2.6
cl-38,,,,composite,2.6
cl-39,,,,composite,2.6
cl-40,,,,composite,2.6
cl-41,,,,composite,2.6
cl-42,,,,composite,2.6
cl-43,,,,composite,2.6
cl-64,,,,steel,2.6
cl-65,,,,steel,2.6
