id,number,base_offset,mesh_file,top_level_id,top_offset,material,shape,size_x,size_y
sc-56,,0,,lv-3,-0.15,concrete,,0.3,
sc-57,,0,,lv-3,-0.15,concrete,,0.3,
sc-58,,0,,lv-3,-0.15,concrete,,0.3,
sc-59,,0,,lv-3,-0.15,concrete,,0.3,
sc-60,,0,,lv-3,-0.15,concrete,,0.3,
sc-61,,0,,lv-3,-0.15,concrete,,0.3,
sc-62,,0,,lv-3,-0.15,concrete,,0.3,
sc-63,,0,,lv-3,-0.15,concrete,,0.3,
sc-64,,0,,lv-3,-0.15,concrete,,0.3,
sc-65,,0,,lv-3,-0.15,concrete,,0.3,
sc-66,,0,,lv-3,-0.15,concrete,,0.3,
sc-67,,0,,lv-3,-0.15,concrete,,0.3,
sc-68,,0,,lv-3,-0.15,concrete,,0.3,
sc-69,,0,,lv-3,-0.15,concrete,,0.3,
sc-70,,0,,lv-3,-0.15,concrete,,0.3,
sc-71,,0,,lv-3,-0.15,concrete,,0.3,
sc-72,,0,,lv-3,-0.15,concrete,,0.3,
sc-73,,0,,lv-3,-0.15,concrete,,0.3,
sc-74,,0,,lv-3,-0.15,concrete,,0.3,
sc-75,,0,,lv-3,-0.15,concrete,,0.3,
sc-76,,0,,lv-3,-0.15,concrete,,0.3,
sc-77,,0,,lv-3,-0.15,concrete,,0.3,
sc-78,,0,,lv-3,-0.15,concrete,,0.3,
sc-79,,0,,lv-3,-0.15,concrete,,0.3,
sc-80,,0,,lv-3,-0.15,concrete,,0.3,
sc-81,,0,,lv-3,-0.15,concrete,,0.3,
sc-82,,0,,lv-3,-0.15,concrete,,0.3,
sc-83,,0,,lv-3,-0.15,concrete,,0.3,
sc-84,,0,,lv-3,-0.15,concrete,,0.3,
sc-85,,0,,lv-3,-0.15,concrete,,0.3,
sc-86,,0,,lv-3,-0.15,concrete,,0.3,
sc-87,,0,,lv-3,-0.15,concrete,,0.3,
sc-88,,0,,lv-3,-0.15,concrete,,0.3,
sc-89,,0,,lv-3,-0.15,concrete,,0.3,
sc-90,,0,,lv-3,-0.15,concrete,,0.3,
sc-91,,0,,lv-3,-0.15,concrete,,0.3,
sc-92,,0,,lv-3,-0.15,concrete,,0.3,
sc-93,,0,,lv-3,-0.15,concrete,,0.3,
sc-94,,0,,lv-3,-0.15,concrete,,0.3,
sc-95,,0,,lv-3,-0.15,concrete,,0.3,
sc-96,,0,,lv-3,-0.15,concrete,,0.3,
sc-97,,0,,lv-3,-0.15,concrete,,0.3,
sc-98,,0,,lv-3,-0.15,concrete,,0.3,
sc-99,,0,,lv-3,-0.15,concrete,,0.3,
sc-100,,0,,lv-3,-0.15,concrete,,0.3,
sc-101,,0,,lv-3,-0.15,concrete,,0.3,
sc-102,,0,,lv-3,-0.15,concrete,,0.3,
sc-103,,0,,lv-3,-0.15,concrete,,0.3,
sc-104,,0,,lv-3,-0.15,concrete,,0.3,
sc-105,,0,,lv-3,-0.15,concrete,,0.3,
sc-106,,0,,lv-3,-0.15,concrete,,0.3,
sc-107,,0,,lv-3,-0.15,concrete,,0.3,
sc-108,,0,,lv-3,-0.15,concrete,,0.3,
sc-109,,0,,lv-3,-0.15,concrete,,0.3,
