id,number,base_offset,mesh_file,x,y,name
sp-61,301,,,55.053,-17.28,Stair 301
sp-62,302,,,48.925,-18.963,Instruction 302
sp-63,303,,,39.539,-18.963,Instruction 303
sp-64,304,,,32.574,-18.963,Instruction 304
sp-65,305,,,25.687,-18.963,Instruction 305
sp-66,306,,,17.458,-18.963,Instruction 306
sp-67,307,,,11.454,-20.282,Men 307
sp-68,308,,,8.473,-20.282,Women 308
sp-69,309,,,4.065,-20.282,Lounge 309
sp-70,310,,,5.665,-16.198,Electrical 310
sp-71,312,,,0,-17.644,Stair 312
sp-72,313,,,-5.676,-17.644,Instruction 313
sp-73,314,,,-5.676,-8.431,Instruction 314
sp-74,315,,,-5.676,-0.916,Instruction 315
sp-75,316,,,-8.447,3.661,Storage 316
sp-76,317,,,-4.542,3.661,Electrical 317
sp-77,318,,,4.862,7.901,Lobby 318
sp-78,319,,,-5.83,8.489,Media Review 319
sp-79,320,,,-5.83,14.451,Media Review 320
sp-80,321,,,-2.925,26.249,Open Office 321
sp-81,322,,,6.038,26.962,Administration 322
sp-82,323,,,8.473,23.352,Electrical 323
sp-83,324,,,13.301,26.249,Advisors 324
sp-84,325,,,20.607,26.962,Conference 325
sp-85,326,,,22.622,23.352,Toilet 326
sp-86,327,,,25.939,24.191,Stair 327
sp-87,328,,,16.45,20.623,Corridor 328
