id,number,base_offset,mesh_file,system_type,terminal_type
tm-1,67,0.406,,,light_fixture
tm-2,68,0.406,,,light_fixture
tm-3,69,0.406,,,light_fixture
tm-4,70,0.406,,,light_fixture
tm-5,12,7.6,,,light_fixture
tm-6,2,7.6,,,light_fixture
tm-7,3,7.6,,,light_fixture
tm-8,4,7.6,,,light_fixture
tm-9,5,7.6,,,light_fixture
tm-10,6,7.6,,,light_fixture
tm-11,7,7.6,,,light_fixture
tm-12,8,7.6,,,light_fixture
tm-13,9,7.6,,,light_fixture
tm-14,10,7.6,,,light_fixture
tm-15,11,7.6,,,light_fixture
tm-16,13,7.6,,,light_fixture
tm-17,14,7.6,,,light_fixture
tm-18,15,7.6,,,light_fixture
tm-19,16,7.6,,,light_fixture
tm-20,17,7.6,,,light_fixture
tm-21,21,1.904,,,light_fixture
tm-22,18,1.904,,,light_fixture
tm-23,19,1.904,,,light_fixture
tm-24,20,1.904,,,light_fixture
tm-25,22,1.904,,,light_fixture
tm-26,23,1.928,,,light_fixture
tm-27,24,1.928,,,light_fixture
