id,number,base_offset,mesh_file,top_level_id,top_offset,material,thickness
w-124,,0,,lv-5,0,steel,0.138
w-125,,0,,lv-5,0,steel,0.138
w-126,,0,,lv-5,0,steel,0.138
w-127,,0,,lv-5,0,steel,0.138
w-128,,0,,lv-5,0,steel,0.138
w-129,,0,,lv-5,0,steel,0.138
w-130,,0,,lv-5,0,steel,0.138
w-131,,0,,lv-5,0,steel,0.138
w-132,,0,,lv-5,0,steel,0.138
w-133,,0,,lv-5,0,steel,0.138
w-134,,0,,lv-5,0,steel,0.138
w-135,,0,,lv-5,0,steel,0.138
w-136,,0,,lv-5,0,concrete,0.29
w-137,,0,,lv-5,0,concrete,0.29
w-138,,0,,lv-5,0,concrete,0.29
w-139,,0,,lv-5,0,concrete,0.29
w-140,,0,,lv-5,0,concrete,0.29
w-141,,0,,lv-5,0,concrete,0.29
w-142,,0,,lv-5,0,concrete,0.29
w-143,,0,,lv-5,0,concrete,0.29
