id,number,base_offset,start_z,end_z,shape,size_x,size_y,material
bm-1,,0,-1.803,-1.803,,0.61,0.61,concrete
bm-2,,0,-1.803,-1.803,,0.61,0.61,concrete
bm-3,,0,-1.054,-1.054,,0.61,0.61,concrete
bm-4,,0,-1.054,-1.054,,0.61,0.61,concrete
bm-5,,0,0,0,,0.61,0.61,concrete
bm-6,,0,-1.803,-1.803,,0.61,0.61,concrete
bm-7,,0,-1.803,-1.803,,0.61,0.762,concrete
bm-8,,0,-1.803,-1.803,,0.61,0.762,concrete
bm-9,,0,-1.803,-1.803,,0.61,0.762,concrete
bm-10,,0,-1.803,-1.803,,0.61,0.762,concrete
bm-11,,0,-1.803,-1.803,,0.61,0.762,concrete
bm-12,,0,-1.803,-1.803,,0.457,0.61,concrete
bm-13,,0,-1.054,-1.054,,0.61,1.003,concrete
bm-14,,0,-1.054,-1.054,,0.61,1.003,concrete
bm-15,,0,-1.054,-1.054,,0.61,0.762,concrete
bm-16,,0,-1.054,-1.054,,0.61,0.762,concrete
bm-17,,0,-1.054,-1.054,,0.61,0.762,concrete
bm-18,,0,-1.054,-1.054,,0.61,0.762,concrete
bm-19,,0,-1.054,-1.054,,0.61,0.762,concrete
bm-20,,0,-1.054,-1.054,,0.61,0.762,concrete
bm-21,,0,-1.054,-1.054,,0.61,0.762,concrete
bm-22,,0,-1.054,-1.054,,0.61,0.762,concrete
bm-23,,0,-1.054,-1.054,,0.61,0.762,concrete
bm-24,,0,0,0,,0.61,1.308,concrete
bm-25,,0,0,0,,0.61,1.308,concrete
bm-26,,0,-1.054,-1.054,,0.61,0.61,concrete
bm-27,,0,-1.803,-1.803,,0.61,0.61,concrete
bm-28,,0,-1.054,-1.054,,0.61,0.61,concrete
bm-29,,0,-1.803,-1.803,,0.61,0.61,concrete
bm-30,,0,-1.803,-1.803,,0.61,0.61,concrete
bm-31,,0,-1.054,-1.054,,0.61,0.61,concrete
bm-32,,0,-1.054,-1.054,,0.61,0.61,concrete
bm-33,,0,-1.054,-1.054,,0.61,0.61,concrete
bm-34,,0,-1.054,-1.054,,0.61,0.61,concrete
bm-35,,0,-0,-0,,0.61,0.61,concrete
bm-36,,0,2.311,2.311,,0.191,0.46,steel
bm-37,,0,2.311,2.311,,0.191,0.46,steel
bm-38,,0,2.311,2.311,,,0.406,steel
bm-39,,0,2.311,2.311,,,0.406,steel
bm-40,,0,2.311,2.311,,,0.406,steel
bm-41,,0,2.311,2.311,,,0.406,steel
bm-42,,0,2.311,2.311,,,0.406,steel
bm-43,,0,2.311,2.311,,0.191,0.46,steel
bm-44,,0,2.311,2.311,,0.191,0.46,steel
bm-45,,0,1.524,1.524,,0.191,0.46,steel
bm-46,,0,1.524,1.524,,0.191,0.46,steel
bm-47,,0,1.524,1.524,,0.191,0.46,steel
bm-48,,0,2.311,2.311,,0.191,0.46,steel
bm-49,,0,2.311,2.311,,0.191,0.46,steel
bm-50,,0,2.311,2.311,,0.191,0.46,steel
bm-51,,0,2.311,2.311,,0.191,0.46,steel
bm-52,,0,2.311,2.311,,0.191,0.46,steel
bm-53,,0,2.311,2.311,,0.191,0.46,steel
bm-54,,0,1.524,1.524,,0.191,0.46,steel
bm-55,,0,1.524,1.524,,0.191,0.46,steel
bm-56,,0,2.311,2.311,,0.191,0.46,steel
bm-57,,0,2.311,2.311,,0.191,0.46,steel
bm-58,,0,2.311,2.311,,0.191,0.46,steel
bm-59,,0,2.311,2.311,,0.191,0.46,steel
bm-60,,0,2.311,2.311,,,0.406,steel
bm-61,,0,2.311,2.311,,,0.406,steel
bm-62,,0,2.311,2.311,,,0.406,steel
bm-63,,0,2.311,2.311,,,0.406,steel
bm-64,,0,2.311,2.311,,0.191,0.46,steel
bm-65,,0,2.311,2.311,,0.191,0.46,steel
bm-66,,0,2.311,2.311,,0.191,0.46,steel
bm-67,,0,2.311,2.311,,0.1,0.2,steel
bm-68,,0,2.311,2.311,,0.1,0.2,steel
bm-69,,0,5.588,5.588,,0.191,0.46,steel
bm-70,,0,5.588,5.588,,0.191,0.46,steel
bm-71,,0,5.588,5.588,,0.191,0.46,steel
bm-72,,0,5.588,5.588,,0.191,0.46,steel
bm-73,,0,5.588,5.588,,0.191,0.46,steel
bm-74,,0,5.588,5.588,,0.191,0.46,steel
bm-75,,0,5.588,5.588,,0.191,0.46,steel
bm-76,,0,5.588,5.588,,0.191,0.46,steel
bm-77,,0,5.588,5.588,,0.191,0.46,steel
bm-78,,0,5.588,5.588,,0.191,0.46,steel
bm-79,,0,5.588,5.588,,0.282,0.467,steel
bm-80,,0,5.588,5.588,,0.191,0.46,steel
bm-81,,0,5.588,5.588,,0.191,0.46,steel
bm-82,,0,5.588,5.588,,0.191,0.46,steel
bm-83,,0,5.588,5.588,,0.191,0.46,steel
bm-84,,0,5.588,5.588,,0.191,0.46,steel
bm-85,,0,5.588,5.588,,0.191,0.46,steel
bm-86,,0,5.588,5.588,,0.191,0.46,steel
bm-87,,0,5.588,5.588,,0.191,0.46,steel
