id,number,base_offset,top_level_id,top_offset,material,shape,size_x,size_y
c-1,,0,lv-11,0.737,composite,rect,0.581,0.678
c-2,,0,lv-11,0.737,composite,rect,0.581,0.678
c-3,,0,lv-11,0.737,composite,rect,0.581,0.678
c-4,,0,lv-11,0.737,composite,rect,0.581,0.678
c-5,,0,lv-11,-0.152,gypsum,rect,0.61,0.61
c-6,,0,lv-17,-0.152,gypsum,rect,0.61,0.61
c-7,,0,lv-17,-0.152,gypsum,rect,0.61,0.61
c-8,,0,lv-14,0,gypsum,rect,0.61,0.61
c-9,,0,lv-14,-0.152,gypsum,rect,0.61,0.61
c-10,,0,lv-14,-0.152,gypsum,rect,0.61,0.61
c-11,,0,lv-11,-0.152,gypsum,rect,0.61,0.61
c-12,,0,lv-11,0,gypsum,rect,0.61,0.61
c-13,,0,lv-14,-0.152,gypsum,rect,0.61,0.61
c-14,,0,lv-14,-0.152,composite,rect,0.61,0.61
c-15,,0,lv-14,-0.152,composite,rect,0.61,0.61
c-16,,0,lv-14,-0.152,gypsum,rect,0.61,0.61
c-17,,0,lv-11,-0.762,concrete,rect,0.61,0.61
c-18,,0,lv-17,-0.152,gypsum,rect,0.61,0.61
c-19,,0,lv-17,-0.152,gypsum,rect,0.61,0.61
c-20,,0,lv-24,0,steel,rect,0.61,0.61
c-21,,0,lv-24,0,gypsum,rect,0.61,0.61
c-22,,0,lv-28,-0.152,gypsum,rect,0.61,0.61
c-23,,0,lv-28,-0.152,gypsum,rect,0.61,0.61
c-24,,0,lv-28,0,gypsum,rect,0.61,0.813
c-25,,0,lv-28,-0.152,gypsum,rect,0.61,0.61
c-26,,0,lv-28,-0.152,gypsum,rect,0.61,0.61
c-27,,0,lv-28,-0.152,gypsum,rect,0.61,0.61
c-28,,0,lv-28,-0.152,gypsum,rect,0.61,0.61
c-29,,0,lv-28,-0.152,gypsum,rect,0.61,0.61
c-30,,0,lv-28,-0.152,gypsum,rect,0.61,0.61
c-31,,0,lv-28,-0.152,gypsum,rect,0.61,0.61
c-32,,0,lv-28,-0.152,gypsum,rect,0.61,0.61
c-33,,0,lv-28,-0.152,gypsum,rect,0.559,0.61
c-34,,0,lv-28,-0.152,gypsum,rect,0.61,0.61
c-35,,0,lv-14,-0.152,gypsum,rect,0.61,0.61
c-36,,-0,lv-11,-0.152,gypsum,rect,0.559,0.61
c-37,,-0,lv-11,-0.152,gypsum,rect,0.508,0.61
c-38,,0,lv-17,0,gypsum,rect,0.61,0.508
c-39,,0,lv-17,0,steel,rect,0.61,0.508
c-40,,-0,lv-14,-1.6,steel,rect,0.61,0.61
c-41,,0,lv-11,-0.152,gypsum,rect,0.457,0.457
c-42,,0,lv-14,-0.152,gypsum,rect,0.61,0.61
c-43,,0,lv-28,-0.152,gypsum,rect,0.61,0.61
c-44,,-0,lv-9,0,gypsum,rect,0.61,0.61
c-45,,-0,lv-14,0,gypsum,rect,0.61,0.61
c-46,,-0,lv-9,0,gypsum,rect,0.61,0.61
c-47,,-0,lv-14,0,gypsum,rect,0.61,0.61
c-119,,0,lv-15,-0.203,stone,rect,0.52,0.543
c-120,,0,lv-15,-0.203,stone,rect,0.52,0.543
c-121,,0,lv-15,-0.203,stone,rect,0.52,0.543
c-122,,0,lv-15,-0.203,stone,rect,0.52,0.543
c-123,,0,lv-15,-0.965,stone,rect,0.457,0.533
c-124,,0,lv-15,-0.965,stone,rect,0.457,0.533
c-125,,0,lv-15,-0.965,stone,rect,0.457,0.533
c-126,,0,lv-14,-0.33,composite,rect,0.635,0.381
c-127,,0,lv-14,-0.33,composite,rect,0.635,0.381
c-128,,0,lv-14,-0.33,composite,rect,0.635,0.381
c-129,,0,lv-14,-0.33,composite,rect,0.635,0.381
c-130,,0,lv-14,-0.33,composite,rect,0.762,0.381
c-131,,0,lv-25,0,composite,rect,0.33,0.127
c-132,,0,lv-25,0,composite,rect,0.33,0.127
c-133,,0,lv-25,0,composite,rect,0.33,0.127
c-134,,0,lv-25,0,composite,rect,0.33,0.127
c-135,,0,lv-15,-0.965,stone,rect,0.457,0.533
