id,number,start_x,start_y,end_x,end_y
gr-1,Block 35 Left,-33.985,16.294,-33.985,-15.055
gr-2,Block 37 Left,-15.164,16.294,-15.164,-15.055
gr-3,Block 39 Left,-6.325,16.294,-6.325,-15.055
gr-4,Block 43 Left,1.245,16.294,1.245,-15.055
gr-5,Block 43 Right,21.92,16.294,21.92,-15.055
gr-6,Angle,12.591,16.294,12.591,-15.055
gr-7,Block 35 Facade,-2.602,-8.893,-40.142,-8.893
gr-8,Block 39 Facade,16.499,-9.629,-10.49,-9.629
gr-9,Block 43 Facade Flat,14.548,-9.477,-0.223,-9.477
gr-10,Block 43 Facade Angled,8.211,-10.109,26.245,-7.735
gr-11,Y Axis,0,-27.432,0,27.432
gr-12,X Axis,-34.75,0,34.746,0
gr-13,1,-33.68,-10.839,-33.68,19.75
gr-14,E,-35.131,12.636,23.704,12.636
gr-15,D,-35.131,5.855,23.704,5.855
gr-16,C,-35.131,0.762,23.704,0.762
gr-17,A,-35.131,-8.395,23.704,-8.395
gr-18,B,-35.131,-3.874,23.704,-3.874
gr-19,4,-15.011,-10.839,-15.011,19.75
gr-20,5,-6.172,-10.839,-6.172,19.75
gr-21,6,1.092,-10.839,1.092,19.75
gr-22,8,12.573,-10.839,12.573,19.75
gr-23,9,21.937,-10.839,17.91,19.75
gr-24,7,7.29,-10.839,7.29,19.75
gr-25,2,-27.673,-10.839,-27.673,19.75
gr-26,3,-21.336,-10.839,-21.336,19.75
gr-27,B.1,-35.131,-1.765,23.704,-1.765
gr-28,NE Corner,19.128,13.279,19.128,13.582
gr-29,1,-33.68,-15.71,-33.68,21.781
gr-30,E,-39.776,12.637,27.813,12.636
gr-31,D,-39.776,5.855,27.813,5.855
gr-32,C,-39.776,0.762,27.813,0.762
gr-33,A,-39.776,-8.395,27.813,-8.395
gr-34,B,-39.776,-3.874,27.813,-3.874
gr-35,4,-15.011,-15.71,-15.011,21.781
gr-36,5,-6.172,-15.71,-6.172,21.781
gr-37,6,1.092,-15.71,1.092,21.781
gr-38,8,12.573,-15.71,12.573,21.781
gr-39,9,22.578,-15.71,17.643,21.781
gr-40,7,7.29,-15.71,7.29,21.781
gr-41,2,-27.673,-15.71,-27.673,21.781
gr-42,3,-21.336,-15.71,-21.336,21.781
gr-43,B.1,-39.776,-1.765,27.813,-1.765
gr-44,1,-33.68,-9.433,-33.68,14.633
gr-45,4,-15.011,-9.433,-15.011,14.633
gr-46,5,-6.172,-9.433,-6.172,14.633
gr-47,6,1.092,-9.433,1.092,14.633
gr-48,8,12.573,-9.433,12.573,14.633
gr-49,9,21.752,-9.433,18.584,14.633
gr-50,7,7.29,-9.433,7.29,14.633
gr-51,2,-27.673,-9.433,-27.673,14.633
gr-52,3,-21.336,-9.433,-21.336,14.633
gr-53,1,-33.68,-10.839,-33.68,16.928
gr-54,E,-34.763,12.636,23.704,12.636
gr-55,D,-34.763,5.855,23.704,5.855
gr-56,C,-34.763,0.762,23.704,0.762
gr-57,A,-34.763,-8.395,23.704,-8.395
gr-58,B,-34.763,-3.874,23.704,-3.874
gr-59,4,-15.011,-10.839,-15.011,16.928
gr-60,5,-6.172,-10.839,-6.172,16.928
gr-61,6,1.092,-10.839,1.092,16.928
gr-62,8,12.573,-10.839,12.573,16.928
gr-63,9,21.937,-10.839,18.281,16.928
gr-64,7,7.29,-10.839,7.29,16.928
gr-65,2,-27.673,-10.839,-27.673,16.928
gr-66,3,-21.336,-10.839,-21.336,16.928
gr-67,B.1,-34.763,-1.765,23.704,-1.765
gr-68,1,-33.68,-11.276,-33.68,17.674
gr-69,E,-35.457,12.637,27.813,12.636
gr-70,D,-35.457,5.855,27.813,5.855
gr-71,C,-35.457,0.762,27.813,0.762
gr-72,B,-35.457,-3.874,27.813,-3.874
gr-73,4,-15.011,-11.276,-15.011,17.674
gr-74,5,-6.172,-11.276,-6.172,17.674
gr-75,6,1.092,-11.276,1.092,17.674
gr-76,8,12.573,-11.276,12.573,17.674
gr-77,9,21.715,-9.156,18.183,17.674
gr-78,7,7.29,-11.276,7.29,17.674
gr-79,B.1,-35.457,-1.765,27.813,-1.765
gr-80,A,-35.457,-8.395,27.813,-8.395
gr-81,2,-27.673,-11.276,-27.673,17.674
gr-82,3,-21.336,-11.276,-21.336,17.674
gr-83,Block 35 Left,-33.985,-3.488,-33.985,-14.305
gr-84,Block 37 Left,-15.164,-3.488,-15.164,-14.305
gr-85,Block 39 Left,-6.325,-3.488,-6.325,-14.305
gr-86,Block 43 Left,1.245,-3.488,1.245,-14.305
gr-87,Block 43 Right,21.92,-3.488,21.92,-14.305
gr-88,Angle,12.591,-3.488,12.591,-14.305
gr-89,Block 35 Facade,23.808,-8.893,-34.612,-8.893
gr-90,Block 39 Facade,23.808,-9.629,-34.612,-9.629
gr-91,Block 43 Facade Flat,23.808,-9.477,-34.612,-9.477
gr-92,Block 43 Facade Angled,-23.663,-14.305,23.808,-8.056
