id,number,name,elevation
lv-1,,Elevator Pit,-6.985
lv-2,,Top of Footing,-5.334
lv-3,,Parking,-5.156
lv-4,,L1 - Block 35,-1.803
lv-5,,L1 - Block 37,-1.067
lv-6,,L1 - Block 37,-1.054
lv-7,,L1 - Block 43,0
lv-8,,M1 TOS,1.524
lv-9,,M1,1.676
lv-10,,L2 TOS,2.311
lv-11,,L2,2.464
lv-12,,L2 - Block 39,4.166
lv-13,,L3 TOS,5.588
lv-14,,L3,5.74
lv-15,,L3 - Block 39,7.874
lv-16,,L4 TOS,9.652
lv-17,,L4,9.804
lv-18,,L5 TOS,13.716
lv-19,,L5,13.868
lv-20,,Block 37 - Parapet,14.453
lv-21,,Block 37 - Parapet,14.529
lv-22,,Block 43 - Parapet,15.57
lv-23,,Block 43 - Parapet,15.596
lv-24,,R1,16.053
lv-25,,Block 39 - Parapet,16.637
lv-26,,Block 39 - Parapet,16.662
lv-27,,R2 TOS,17.78
lv-28,,R2,17.932
lv-29,,Green Roof Hardscape,18.263
lv-30,,Parapet,19.355
lv-31,,R3,20.98
lv-32,,Parapet 2,21.59
